segment_id,budget,budget_ratio,seed,method,event_precision,event_recall,duration_precision,duration_recall,candidate_duration,core_duration,num_unique_events_hit,audit_calls,repair_calls,discovery_calls,guard_calls,total_used_calls,budget_accounting_error,halo_duration
realcartest_3200_3830,3,0.047619047619047616,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0.0
realcartest_3200_3830,5,0.07936507936507936,0,D3-core-chunk120,0.0,0.0,0.0,0.0,20.0,0.0,0,1,0,1,0,2,3,20.0
realcartest_3200_3830,5,0.07936507936507936,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0.0
realcartest_3200_3830,6,0.09523809523809523,0,D3-core-chunk120,1.0,0.2857142857142857,0.0,0.0,60.0,30.0,2,1,0,0,5,6,0,30.0
realcartest_3200_3830,6,0.09523809523809523,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0.0
realcartest_3200_3830,10,0.15873015873015872,0,D3-core-chunk120,0.0,0.0,0.0,0.0,20.0,0.0,0,1,0,1,0,2,8,20.0
realcartest_3200_3830,10,0.15873015873015872,0,D3-norepair-core-chunk120,1.0,0.5714285714285714,0.0,0.0,90.0,40.0,4,0,0,9,1,10,0,50.0
realcartest_3200_3830,13,0.20634920634920634,0,D3-core-chunk120,1.0,0.2857142857142857,0.0,0.0,60.0,30.0,2,2,0,4,5,11,2,30.0
realcartest_3200_3830,13,0.20634920634920634,0,D3-norepair-core-chunk120,1.0,0.14285714285714285,0.0,0.0,70.0,40.0,1,0,0,7,4,11,2,30.0
realcartest_3200_3830,63,1.0,0,D3-core-chunk120,1.0,0.8571428571428571,0.0,0.0,430.0,120.0,6,16,2,38,6,62,1,310.0
realcartest_3200_3830,63,1.0,0,D3-norepair-core-chunk120,1.0,1.0,0.0,0.0,630.0,130.0,7,0,0,63,0,63,0,500.0
dataset3_0_1200,5,0.041666666666666664,0,D3-core-chunk120,0.0,0.0,0.0,0.0,50.0,0.0,0,1,0,4,0,5,0,50.0
dataset3_0_1200,5,0.041666666666666664,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,50.0,0.0,0,0,0,5,0,5,0,50.0
dataset3_0_1200,6,0.05,0,D3-core-chunk120,0.0,0.0,0.0,0.0,60.0,0.0,0,1,0,5,0,6,0,60.0
dataset3_0_1200,6,0.05,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,60.0,0.0,0,0,0,6,0,6,0,60.0
dataset3_0_1200,10,0.08333333333333333,0,D3-core-chunk120,0.0,0.0,0.0,0.0,80.0,0.0,0,1,0,7,0,8,2,80.0
dataset3_0_1200,10,0.08333333333333333,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,10,0,10,0,100.0
dataset3_0_1200,12,0.1,0,D3-core-chunk120,0.0,0.0,0.0,0.0,70.0,0.0,0,2,0,5,0,7,5,70.0
dataset3_0_1200,12,0.1,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,120.0,0.0,0,0,0,12,0,12,0,120.0
dataset3_0_1200,20,0.16666666666666666,0,D3-core-chunk120,0.0,0.0,0.0,0.0,150.0,0.0,0,2,0,14,0,16,4,150.0
dataset3_0_1200,20,0.16666666666666666,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,160.0,0.0,0,0,0,16,0,16,4,160.0
dataset3_0_1200,24,0.2,0,D3-core-chunk120,1.0,0.16666666666666666,0.0,0.0,210.0,10.0,1,3,0,18,2,23,1,200.0
dataset3_0_1200,24,0.2,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,200.0,0.0,0,0,0,20,0,20,4,200.0
dataset3_0_1200,36,0.3,0,D3-core-chunk120,1.0,0.16666666666666666,0.0,0.0,320.0,10.0,1,4,0,28,2,34,2,310.0
dataset3_0_1200,36,0.3,0,D3-norepair-core-chunk120,1.0,0.16666666666666666,0.0,0.0,310.0,10.0,1,0,0,31,2,33,3,300.0
dataset3_0_1200,120,1.0,0,D3-core-chunk120,1.0,1.0,0.0,0.0,1120.0,70.0,6,6,0,112,2,120,0,1050.0
dataset3_0_1200,120,1.0,0,D3-norepair-core-chunk120,1.0,1.0,0.0,0.0,1200.0,70.0,6,0,0,120,0,120,0,1130.0
dataset3_1200_2400,5,0.041666666666666664,0,D3-core-chunk120,0.0,0.0,0.0,0.0,50.0,0.0,0,1,0,4,0,5,0,50.0
dataset3_1200_2400,5,0.041666666666666664,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,20.0,0.0,0,0,0,2,0,2,3,20.0
dataset3_1200_2400,6,0.05,0,D3-core-chunk120,0.0,0.0,0.0,0.0,60.0,0.0,0,1,0,5,0,6,0,60.0
dataset3_1200_2400,6,0.05,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,30.0,0.0,0,0,0,3,0,3,3,30.0
dataset3_1200_2400,10,0.08333333333333333,0,D3-core-chunk120,1.0,0.25,0.0,0.0,100.0,90.0,3,1,0,0,9,10,0,10.0
dataset3_1200_2400,10,0.08333333333333333,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,50.0,0.0,0,0,0,5,0,5,5,50.0
dataset3_1200_2400,12,0.1,0,D3-core-chunk120,0.0,0.0,0.0,0.0,60.0,0.0,0,2,0,4,0,6,6,60.0
dataset3_1200_2400,12,0.1,0,D3-norepair-core-chunk120,1.0,0.08333333333333333,0.0,0.0,70.0,20.0,1,0,0,7,3,10,2,50.0
dataset3_1200_2400,20,0.16666666666666666,0,D3-core-chunk120,0.0,0.0,0.0,0.0,100.0,0.0,0,2,0,8,0,10,10,100.0
dataset3_1200_2400,20,0.16666666666666666,0,D3-norepair-core-chunk120,1.0,0.16666666666666666,0.0,0.0,110.0,20.0,2,0,0,11,3,14,6,90.0
dataset3_1200_2400,24,0.2,0,D3-core-chunk120,1.0,0.25,0.0,0.0,120.0,30.0,3,6,2,5,5,18,6,90.0
dataset3_1200_2400,24,0.2,0,D3-norepair-core-chunk120,1.0,0.16666666666666666,0.0,0.0,150.0,100.0,2,0,0,15,9,24,0,50.0
dataset3_1200_2400,36,0.3,0,D3-core-chunk120,1.0,0.25,0.0,0.0,250.0,110.0,3,9,2,16,6,33,3,140.0
dataset3_1200_2400,36,0.3,0,D3-norepair-core-chunk120,1.0,0.3333333333333333,0.0,0.0,230.0,120.0,4,0,0,23,13,36,0,110.0
dataset3_1200_2400,120,1.0,0,D3-core-chunk120,1.0,1.0,0.0,0.0,1120.0,210.0,12,6,0,109,5,120,0,910.0
dataset3_1200_2400,120,1.0,0,D3-norepair-core-chunk120,1.0,1.0,0.0,0.0,1200.0,210.0,12,0,0,120,0,120,0,990.0
dataset3_2400_3462,5,0.04716981132075472,0,D3-core-chunk120,0.0,0.0,0.0,0.0,50.0,0.0,0,1,0,4,0,5,0,50.0
dataset3_2400_3462,5,0.04716981132075472,0,D3-norepair-core-chunk120,0.0,0.0,0.0,0.0,50.0,0.0,0,0,0,5,0,5,0,50.0
