segment_id,method,budget,budget_ratio,missed_event_count,missed_long_event_count,missed_point_anchor_count,events_in_halo_but_not_core,events_never_selected
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,20,0.12738853503184713,16.8,6.0,10.8,0.0,17.0
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,31,0.19745222929936307,17.8,7.0,10.8,0.0,18.2
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,40,0.25477707006369427,14.2,5.0,9.2,0.0,15.2
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,47,0.29936305732484075,11.2,2.5999999999999996,8.6,0.0,12.2
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,60,0.3821656050955414,8.8,1.7999999999999998,7.0,0.0,11.0
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,63,0.4012738853503185,9.0,2.8,6.2,0.0,10.8
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,78,0.4968152866242038,9.2,1.7999999999999998,7.4,0.0,10.8
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,80,0.5095541401273885,8.4,2.4000000000000004,6.0,0.0,11.0
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,100,0.6369426751592356,5.4,0.20000000000000018,5.2,0.0,6.6
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,118,0.7515923566878981,3.8000000000000007,0.0,3.8000000000000007,0.0,3.8
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,120,0.7643312101910829,3.6000000000000014,0.0,3.5999999999999996,0.0,3.8
realcartest_0_1570,LATE-D2-core-q20-smass-rhighest,157,1.0,0.0,0.0,0.0,0.0,0.0
realcartest_0_1570,LATE-D3-core-chunk120,5,0.03184713375796178,18.2,6.6,11.6,0.0,18.2
realcartest_0_1570,LATE-D3-core-chunk120,8,0.050955414012738856,18.4,6.6,11.8,0.0,18.4
realcartest_0_1570,LATE-D3-core-chunk120,10,0.06369426751592357,18.4,6.6,11.8,0.0,18.6
realcartest_0_1570,LATE-D3-core-chunk120,16,0.10191082802547771,16.0,5.4,10.6,0.0,16.0
realcartest_0_1570,LATE-D3-core-chunk120,20,0.12738853503184713,18.4,6.4,12.0,0.0,18.6
realcartest_0_1570,LATE-D3-core-chunk120,31,0.19745222929936307,15.4,5.0,10.4,0.0,15.4
realcartest_0_1570,LATE-D3-core-chunk120,40,0.25477707006369427,15.0,5.0,10.0,0.0,15.4
realcartest_0_1570,LATE-D3-core-chunk120,47,0.29936305732484075,13.2,3.0,10.2,0.0,13.6
realcartest_0_1570,LATE-D3-core-chunk120,60,0.3821656050955414,11.6,2.5999999999999996,9.0,0.0,12.8
realcartest_0_1570,LATE-D3-core-chunk120,63,0.4012738853503185,10.4,2.4000000000000004,8.0,0.0,11.4
realcartest_0_1570,LATE-D3-core-chunk120,78,0.4968152866242038,11.6,2.8,8.8,0.0,12.0
realcartest_0_1570,LATE-D3-core-chunk120,80,0.5095541401273885,10.8,2.4000000000000004,8.4,0.0,11.4
realcartest_0_1570,LATE-D3-core-chunk120,100,0.6369426751592356,8.8,1.7999999999999998,7.0,0.0,10.0
realcartest_0_1570,LATE-D3-core-chunk120,118,0.7515923566878981,6.4,0.5999999999999996,5.8,0.0,7.2
realcartest_0_1570,LATE-D3-core-chunk120,120,0.7643312101910829,5.6,0.40000000000000036,5.2,0.0,6.6
realcartest_0_1570,LATE-D3-core-chunk120,157,1.0,2.1999999999999993,0.20000000000000018,2.0,0.0,3.0
realcartest_0_1570,D3-norepair-core-chunk120,5,0.03184713375796178,19.8,7.8,12.0,0.0,19.8
realcartest_0_1570,D3-norepair-core-chunk120,8,0.050955414012738856,19.8,7.8,12.0,0.0,19.8
realcartest_0_1570,D3-norepair-core-chunk120,10,0.06369426751592357,19.6,7.8,11.8,0.0,19.6
realcartest_0_1570,D3-norepair-core-chunk120,16,0.10191082802547771,19.4,7.8,11.6,0.0,19.4
realcartest_0_1570,D3-norepair-core-chunk120,20,0.12738853503184713,19.4,7.8,11.6,0.0,19.4
realcartest_0_1570,D3-norepair-core-chunk120,31,0.19745222929936307,15.2,6.0,9.2,0.0,15.6
realcartest_0_1570,D3-norepair-core-chunk120,40,0.25477707006369427,15.8,4.8,11.0,0.0,15.8
realcartest_0_1570,D3-norepair-core-chunk120,47,0.29936305732484075,14.6,3.8,10.8,0.0,15.0
realcartest_0_1570,D3-norepair-core-chunk120,60,0.3821656050955414,12.4,3.0,9.4,0.0,12.8
realcartest_0_1570,D3-norepair-core-chunk120,63,0.4012738853503185,12.2,3.0,9.2,0.0,12.4
realcartest_0_1570,D3-norepair-core-chunk120,78,0.4968152866242038,10.4,3.0,7.4,0.0,10.8
realcartest_0_1570,D3-norepair-core-chunk120,80,0.5095541401273885,9.2,2.0,7.2,0.0,9.8
realcartest_0_1570,D3-norepair-core-chunk120,100,0.6369426751592356,7.6,1.2000000000000002,6.4,0.0,8.0
realcartest_0_1570,D3-norepair-core-chunk120,118,0.7515923566878981,6.0,1.4000000000000004,4.6,0.0,6.2
realcartest_0_1570,D3-norepair-core-chunk120,120,0.7643312101910829,3.8000000000000007,0.20000000000000018,3.5999999999999996,0.0,4.6
realcartest_0_1570,D3-norepair-core-chunk120,157,1.0,0.0,0.0,0.0,0.0,0.0
realcartest_2000_3200,B7-core,5,0.041666666666666664,19.6,6.0,13.6,0.0,19.8
realcartest_2000_3200,B7-core,6,0.05,19.8,6.0,13.8,0.0,19.8
realcartest_2000_3200,B7-core,10,0.08333333333333333,19.4,5.8,13.6,0.0,19.4
realcartest_2000_3200,B7-core,12,0.1,18.4,5.2,13.2,0.0,18.6
realcartest_2000_3200,B7-core,20,0.16666666666666666,17.4,4.6,12.8,0.0,17.6
realcartest_2000_3200,B7-core,24,0.2,17.0,4.4,12.6,0.0,17.4
realcartest_2000_3200,B7-core,36,0.3,13.6,3.4,10.2,0.0,14.4
realcartest_2000_3200,B7-core,40,0.3333333333333333,14.0,3.4,10.6,0.0,14.4
realcartest_2000_3200,B7-core,48,0.4,11.6,3.4,8.2,0.0,12.2
realcartest_2000_3200,B7-core,60,0.5,9.4,2.4,7.0,0.0,10.2
realcartest_2000_3200,B7-core,80,0.6666666666666666,6.800000000000001,1.2000000000000002,5.6,0.0,7.4
realcartest_2000_3200,B7-core,90,0.75,5.199999999999999,0.7999999999999998,4.4,0.0,6.8
realcartest_2000_3200,B7-core,100,0.8333333333333334,2.3999999999999986,0.40000000000000036,2.0,0.0,2.8
realcartest_2000_3200,B7-core,120,1.0,0.0,0.0,0.0,0.0,0.0
realcartest_2000_3200,LATE-D0-core,5,0.041666666666666664,18.8,5.0,13.8,0.0,19.0
realcartest_2000_3200,LATE-D0-core,6,0.05,19.0,5.2,13.8,0.0,19.2
realcartest_2000_3200,LATE-D0-core,10,0.08333333333333333,17.2,4.2,13.0,0.0,17.4
realcartest_2000_3200,LATE-D0-core,12,0.1,18.2,5.0,13.2,0.0,18.4
realcartest_2000_3200,LATE-D0-core,20,0.16666666666666666,17.2,4.2,13.0,0.0,17.6
realcartest_2000_3200,LATE-D0-core,24,0.2,17.8,4.6,13.2,0.0,17.8
realcartest_2000_3200,LATE-D0-core,36,0.3,12.8,2.6,10.2,0.0,13.2
realcartest_2000_3200,LATE-D0-core,40,0.3333333333333333,16.0,3.8,12.2,0.0,16.4
realcartest_2000_3200,LATE-D0-core,48,0.4,15.2,3.0,12.2,0.0,15.6
realcartest_2000_3200,LATE-D0-core,60,0.5,10.8,1.2000000000000002,9.6,0.0,12.0
realcartest_2000_3200,LATE-D0-core,80,0.6666666666666666,6.6,0.40000000000000036,6.2,0.0,7.8
realcartest_2000_3200,LATE-D0-core,90,0.75,4.6,0.20000000000000018,4.4,0.0,6.2
realcartest_2000_3200,LATE-D0-core,100,0.8333333333333334,3.6000000000000014,0.0,3.5999999999999996,0.0,6.0
realcartest_2000_3200,LATE-D0-core,120,1.0,0.0,0.0,0.0,0.0,0.0
realcartest_2000_3200,LATE-D1-core-radius20,5,0.041666666666666664,18.8,5.0,13.8,0.0,18.8
realcartest_2000_3200,LATE-D1-core-radius20,6,0.05,18.0,4.2,13.8,0.0,18.0
realcartest_2000_3200,LATE-D1-core-radius20,10,0.08333333333333333,16.0,3.0,13.0,0.0,16.0
realcartest_2000_3200,LATE-D1-core-radius20,12,0.1,15.2,3.2,12.0,0.0,15.4
realcartest_2000_3200,LATE-D1-core-radius20,20,0.16666666666666666,13.4,1.5999999999999996,11.8,0.0,13.4
realcartest_2000_3200,LATE-D1-core-radius20,24,0.2,11.0,1.2000000000000002,9.8,0.0,11.6
realcartest_2000_3200,LATE-D1-core-radius20,36,0.3,9.2,0.0,9.2,0.0,9.4
realcartest_2000_3200,LATE-D1-core-radius20,40,0.3333333333333333,9.8,0.7999999999999998,9.0,0.0,10.2
realcartest_2000_3200,LATE-D1-core-radius20,48,0.4,13.0,2.0,11.0,0.0,13.4
realcartest_2000_3200,LATE-D1-core-radius20,60,0.5,11.8,1.2000000000000002,10.6,0.0,12.4
realcartest_2000_3200,LATE-D1-core-radius20,80,0.6666666666666666,7.4,0.5999999999999996,6.8,0.0,8.4
realcartest_2000_3200,LATE-D1-core-radius20,90,0.75,4.4,0.0,4.4,0.0,6.2
realcartest_2000_3200,LATE-D1-core-radius20,100,0.8333333333333334,4.0,0.0,4.0,0.0,5.8
realcartest_2000_3200,LATE-D1-core-radius20,120,1.0,0.0,0.0,0.0,0.0,0.0
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,5,0.041666666666666664,18.0,4.0,14.0,0.0,18.0
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,6,0.05,17.2,4.0,13.2,0.0,17.2
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,10,0.08333333333333333,17.0,4.0,13.0,0.0,17.0
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,12,0.1,16.2,4.0,12.2,0.0,16.6
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,20,0.16666666666666666,16.8,4.0,12.8,0.0,16.8
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,24,0.2,16.4,3.4,13.0,0.0,16.4
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,36,0.3,13.6,2.6,11.0,0.0,14.2
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,40,0.3333333333333333,14.8,3.4,11.4,0.0,15.0
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,48,0.4,13.0,2.4,10.6,0.0,14.2
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,60,0.5,12.0,1.5999999999999996,10.4,0.0,12.6
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,80,0.6666666666666666,6.6,0.5999999999999996,6.0,0.0,7.8
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,90,0.75,5.0,0.0,5.0,0.0,7.0
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,100,0.8333333333333334,3.8000000000000007,0.0,3.8000000000000007,0.0,6.4
realcartest_2000_3200,LATE-D2-core-q20-smass-rhighest,120,1.0,0.0,0.0,0.0,0.0,0.0
realcartest_2000_3200,LATE-D3-core-chunk120,5,0.041666666666666664,19.6,6.0,13.6,0.0,19.8
realcartest_2000_3200,LATE-D3-core-chunk120,6,0.05,18.0,5.0,13.0,0.0,18.2
realcartest_2000_3200,LATE-D3-core-chunk120,10,0.08333333333333333,18.2,5.0,13.2,0.0,18.6
realcartest_2000_3200,LATE-D3-core-chunk120,12,0.1,16.0,4.2,11.8,0.0,16.2
realcartest_2000_3200,LATE-D3-core-chunk120,20,0.16666666666666666,16.4,4.6,11.8,0.0,16.8
realcartest_2000_3200,LATE-D3-core-chunk120,24,0.2,17.0,4.6,12.4,0.0,17.6
realcartest_2000_3200,LATE-D3-core-chunk120,36,0.3,12.6,2.8,9.8,0.0,13.8
realcartest_2000_3200,LATE-D3-core-chunk120,40,0.3333333333333333,16.2,4.0,12.2,0.0,16.8
realcartest_2000_3200,LATE-D3-core-chunk120,48,0.4,16.0,4.2,11.8,0.0,16.4
realcartest_2000_3200,LATE-D3-core-chunk120,60,0.5,12.8,3.6,9.2,0.0,13.8
realcartest_2000_3200,LATE-D3-core-chunk120,80,0.6666666666666666,8.6,1.5999999999999996,7.0,0.0,9.8
realcartest_2000_3200,LATE-D3-core-chunk120,90,0.75,7.4,1.7999999999999998,5.6,0.0,9.4
realcartest_2000_3200,LATE-D3-core-chunk120,100,0.8333333333333334,5.6,0.5999999999999996,5.0,0.0,6.6
realcartest_2000_3200,LATE-D3-core-chunk120,120,1.0,2.8000000000000007,0.40000000000000036,2.4000000000000004,0.0,4.4
realcartest_2000_3200,D3-norepair-core-chunk120,5,0.041666666666666664,20.0,6.0,14.0,0.0,20.0
realcartest_2000_3200,D3-norepair-core-chunk120,6,0.05,19.6,5.8,13.8,0.0,19.6
realcartest_2000_3200,D3-norepair-core-chunk120,10,0.08333333333333333,19.6,5.8,13.8,0.0,19.6
realcartest_2000_3200,D3-norepair-core-chunk120,12,0.1,18.8,5.4,13.4,0.0,18.8
realcartest_2000_3200,D3-norepair-core-chunk120,20,0.16666666666666666,17.6,4.8,12.8,0.0,17.8
realcartest_2000_3200,D3-norepair-core-chunk120,24,0.2,17.6,5.4,12.2,0.0,18.0
