segment_id,method,budget,long_event_recall_mean,long_event_recall_std,repair_triggered_hits_mean,repair_triggered_hits_std,selected_precision_mean,selected_total_duration_mean,num_selected_bins_mean
realcartest_2000_3200,B7_ExSample_plus_expansion,40,0.5333333333333333,0.21730674684008833,0.0,0.0,0.18350000000000052,400.0,40.0
realcartest_2000_3200,B7_ExSample_plus_expansion,80,0.8666666666666668,0.13944333775567927,0.0,0.0,0.14495000000000044,800.0,80.0
realcartest_2000_3200,B7_ExSample_plus_expansion,120,1.0,0.0,0.0,0.0,0.11125000000000043,1200.0,120.0
realcartest_2000_3200,Frozen-LATE-AQP-v1,5,0.16666666666666666,0.0,0.0,0.0,0.1768000000000009,50.0,5.0
realcartest_2000_3200,Frozen-LATE-AQP-v1,10,0.3,0.07453559924999298,0.0,0.0,0.2940000000000008,100.0,10.0
realcartest_2000_3200,Frozen-LATE-AQP-v1,20,0.4666666666666666,0.074535599249993,0.0,0.0,0.2640000000000006,200.0,20.0
realcartest_2000_3200,Frozen-LATE-AQP-v1,40,0.7,0.07453559924999302,0.0,0.0,0.1768000000000009,400.0,40.0
realcartest_2000_3200,Frozen-LATE-AQP-v1,80,1.0,0.0,0.0,0.0,0.1494750000000006,800.0,80.0
realcartest_2000_3200,Frozen-LATE-AQP-v1,120,1.0,0.0,0.0,0.0,0.11125000000000043,1200.0,120.0
realcartest_3200_3830,B6_ExSample,5,0.2,0.11180339887498948,0.0,0.0,0.12639999999999782,50.0,5.0
realcartest_3200_3830,B6_ExSample,10,0.45,0.2091650066335189,0.0,0.0,0.16739999999999783,100.0,10.0
realcartest_3200_3830,B6_ExSample,20,0.6,0.13693063937629152,0.0,0.0,0.15919999999999707,200.0,20.0
realcartest_3200_3830,B6_ExSample,40,0.9,0.13693063937629152,0.0,0.0,0.11244999999999754,400.0,40.0
realcartest_3200_3830,B6_ExSample,80,1.0,0.0,0.0,0.0,0.1014285714285694,630.0,63.0
realcartest_3200_3830,B6_ExSample,120,1.0,0.0,0.0,0.0,0.1014285714285694,630.0,63.0
realcartest_3200_3830,B7_ExSample_plus_expansion,5,0.2,0.11180339887498948,0.0,0.0,0.2891999999999971,50.0,5.0
realcartest_3200_3830,B7_ExSample_plus_expansion,10,0.3,0.11180339887498948,0.0,0.0,0.2291999999999971,100.0,10.0
realcartest_3200_3830,B7_ExSample_plus_expansion,20,0.65,0.13693063937629152,0.0,0.0,0.2096999999999971,200.0,20.0
realcartest_3200_3830,B7_ExSample_plus_expansion,40,0.9,0.13693063937629152,0.0,0.0,0.13874999999999726,400.0,40.0
realcartest_3200_3830,B7_ExSample_plus_expansion,80,1.0,0.0,0.0,0.0,0.1014285714285694,630.0,63.0
realcartest_3200_3830,B7_ExSample_plus_expansion,120,1.0,0.0,0.0,0.0,0.1014285714285694,630.0,63.0
realcartest_3200_3830,Frozen-LATE-AQP-v1,5,0.25,0.0,0.0,0.0,0.4139999999999963,50.0,5.0
realcartest_3200_3830,Frozen-LATE-AQP-v1,10,0.25,0.0,0.0,0.0,0.20699999999999816,100.0,10.0
realcartest_3200_3830,Frozen-LATE-AQP-v1,20,0.45,0.11180339887498948,0.0,0.0,0.18599999999999728,200.0,20.0
realcartest_3200_3830,Frozen-LATE-AQP-v1,40,1.0,0.0,0.0,0.0,0.13764999999999733,400.0,40.0
realcartest_3200_3830,Frozen-LATE-AQP-v1,80,1.0,0.0,0.0,0.0,0.1014285714285694,630.0,63.0
realcartest_3200_3830,Frozen-LATE-AQP-v1,120,1.0,0.0,0.0,0.0,0.1014285714285694,630.0,63.0
