path,git_state,size_bytes,sha256,disposition,reason,artifact_manifest
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00002-of-00014.safetensors,IGNORED,4875990528,d8bb44b4ff303fe76fe9e894022fb3dc71b15a2e716592790fe0e3c3e60478fa,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00003-of-00014.safetensors,IGNORED,4875990552,54f22e8b3168f8dc962fac0d313607ebf52a12b433d4cf3098a0d82d9f042940,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00004-of-00014.safetensors,IGNORED,4875990584,ad09c74d3c13ee29b5d0d84548fd8a3424a651564eaccd519946c296e59c557f,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00005-of-00014.safetensors,IGNORED,4875990584,fc993c8a0e2a5b0570f383e1a95dc3a1281d1b224b6f3ee908f4827941e1dfc2,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00006-of-00014.safetensors,IGNORED,4875990584,82f05620d1f718a90c362b221d6a184ff1a0f53301d706882d3df49695fa1974,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00007-of-00014.safetensors,IGNORED,4875990584,fb91da8cb01ff4de3eef0eab1c3e769a734b3a1aafc61734068638a0d6c86934,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00008-of-00014.safetensors,IGNORED,4875990584,431ca56535c8781944ce3801f5eb61c45531e853ecc5846d936ebaf4761b764f,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00009-of-00014.safetensors,IGNORED,4875990584,3825e3f4302f4d2f7d76aa7430d2ce0864fde6b9e540a5806bf0d8e38e4d9f47,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00010-of-00014.safetensors,IGNORED,4875990584,aded5a4d1d5e22dbd8b6f79266b6eb88c840411b09527c53917a1419ace22e2f,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00011-of-00014.safetensors,IGNORED,4875990584,3820ffe8d8d6477f6fe8d614ef3c87abb264ee39accebf43a1507b970d80946f,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00012-of-00014.safetensors,IGNORED,4875990584,05ad2d08ce71963121c9b03f1d9ec5d7641052f4b23c6c12b80d71065eb8e98e,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00013-of-00014.safetensors,IGNORED,4875990584,b64f2289871261fdd1abbd3b78bcd66011b341de3dc8eeb2ed1a473ee7c8d95c,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/model-00014-of-00014.safetensors,IGNORED,3270697008,e45b6c9998c77ee5a6577f9f47bc76416c1d4d387169e50c4c9d3134ea51b13b,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-8B-Instruct/.cache/huggingface/download/DaGOU-KRMVrY0aYktrsE34tL0Bs=.83de00eafe6e0d57ccd009dbcf71c9974d74df2f016c27afb7e95aafd16b2192.7610eb8d.incomplete,IGNORED,62914560,f85d13c1d3b7975e13e8fe2b6ec0da208a75973cfa9085d53cdc915023daa728,EXCLUDED,CACHE_OR_TEMPORARY_FILE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-8B-Instruct/model-00001-of-00004.safetensors,IGNORED,4902275944,d5d0aef0eb170fc7453a296c43c0849a56f510555d3588e4fd662bb35490aefa,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-8B-Instruct/model-00002-of-00004.safetensors,IGNORED,4915962496,8be88fb5501e4d5719a6d4cc212e6a13480330e74f3e8c77daa1a68f199106b5,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-8B-Instruct/model-00003-of-00004.safetensors,IGNORED,4999831048,83de00eafe6e0d57ccd009dbcf71c9974d74df2f016c27afb7e95aafd16b2192,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/vlm/qwen3_vl/Qwen3-VL-8B-Instruct/model-00004-of-00004.safetensors,IGNORED,2716270024,0a88b98e9f96270973f567e6a2c103ede6ccdf915ca3075e21c755604d0377a5,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
models/yolo/yolov8x.pt,IGNORED,136890692,3df4ada6b4dad6d657868f2fdf7faecfb34dcfccf3a25c4b82079064718524c8,EXCLUDED,MODEL_WEIGHT_OR_ENGINE,NOT_FOUND
outputs/latent_event_diag_v1/synthetic_action_lineage.jsonl,UNTRACKED,107394702,0eb19e46ab1cccf488052464a21720f8efc07e6241ffdc6104c095cc58b7287c,EXCLUDED,OVER_50_MIB_NO_GIT_LFS,NOT_FOUND
outputs/online_macro_activity_replication/technical_normalization/remux_decode.stderr,UNTRACKED,58298967,36eed1e2cae465e6f6062fe3748c4a6f040bcd9b239729b1c28569f36c7293e0,EXCLUDED,OVER_50_MIB_NO_GIT_LFS,NOT_FOUND
src/garc_eval/outputs/cils_calibration_repair_replay_v1/tables/candidate_p_answer_by_policy.csv,IGNORED,195295148,0449f41ed07fd4fcfad1383769229ab89a93442c46e7ea655dfc0295bd384445,EXCLUDED,OVER_50_MIB_NO_GIT_LFS,NOT_FOUND
src/garc_eval/outputs/cils_calibration_repair_smoke_v1/tables/smoke_candidate_p_answer.csv,IGNORED,503846014,9f6f96f9e4d94524d0cd648ac013bc6594a65354d6808d8d43e6e42606a3e8e3,EXCLUDED,OVER_50_MIB_NO_GIT_LFS,NOT_FOUND
src/garc_eval/outputs/cils_empty_return_root_cause_audit_v1/tables/cils_rejection_trace.csv,IGNORED,638745783,530be478fa18e9e412001a1f559329402a747415e4b91a8441227555388926d7,EXCLUDED,OVER_50_MIB_NO_GIT_LFS,NOT_FOUND
src/garc_eval/outputs/synthetic_cheap_signal_downstream_validation_v1/tables/synthetic_signal_candidates.csv,IGNORED,119780876,fa227c2b47d253882554784e7045bf7aa551d502cb9cf735f4c7ee1eb8277d96,EXCLUDED,OVER_50_MIB_NO_GIT_LFS,NOT_FOUND
src/garc_eval/outputs/true_interval_reference_expansion_execution_v1/review_media/clips/review_review_0102_0p0_1200p0.mp4,IGNORED,420739186,7ac2e2294d2a39f2740aabceb0d77b81ba010228ee0414dd5fff3e11422edc22,EXCLUDED,RAW_OR_INTERMEDIATE_MEDIA,NOT_FOUND
src/garc_eval/outputs/true_interval_reference_expansion_execution_v1/review_media/clips/review_review_0103_736p0_930p0.mp4,IGNORED,71735536,2145497dfc17643af92d6e2f56bfc50c46bf28190022cf3de2ffba75bb989c6a,EXCLUDED,RAW_OR_INTERMEDIATE_MEDIA,NOT_FOUND
try_or_no/outputs/real_kinematic_mvp/kinematic_query_table.csv,TRACKED,98592453,136e602698a33eb2e3e4a6e7edb9c90518c68c9a1ba30caa03ac640ef78961b5,EXCLUDED,OVER_50_MIB_NO_GIT_LFS,NOT_FOUND
try_or_no/test.mov,IGNORED,212638897,282804b7eaeb83eb9c7fc1cff456dddec7eef80750d207e5907e8e1ca053fdcb,EXCLUDED,RAW_OR_INTERMEDIATE_MEDIA,NOT_FOUND
try_or_no/videos/realcartest_5k.mp4,IGNORED,541553382,a0bd278e5ae5380633fd47ac9c20514c888a6ea7edccbfa87c61c8eb645b71e2,EXCLUDED,RAW_OR_INTERMEDIATE_MEDIA,NOT_FOUND
