method,setting,budget,trial,recall,precision,invalid_rate,candidate_calls,audit_calls
adaptive_greedy,label_K10_min15,200,16,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,17,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,17,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,17,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,17,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,18,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,18,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,18,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,18,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,19,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,19,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,19,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,19,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,20,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,20,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,20,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,20,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,21,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,21,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,21,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,21,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,22,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,22,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,22,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,22,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,23,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,23,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,23,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,23,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,24,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,24,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,24,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,24,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,25,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,25,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,25,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,25,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,26,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,26,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,26,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,26,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,27,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,27,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,27,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,27,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,28,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,28,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,28,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,28,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,200,29,0.05555555555555555,1.0,0.0,200,0
fixed_mix_80_20,label_K10_min15,200,29,0.05555555555555555,1.0,0.0,160,40
fixed_mix_50_50,label_K10_min15,200,29,0.0,0.0,0.0,100,100
adaptive_greedy,label_K10_min15,200,29,0.05555555555555555,1.0,0.0,175,25
candidate_only,label_K10_min15,800,0,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,0,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,0,0.16666666666666666,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,0,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,1,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,1,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,1,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,1,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,2,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,2,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,2,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,2,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,3,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,3,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,3,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,3,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,4,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,4,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,4,0.16666666666666666,0.42857142857142855,0.42857142857142855,400,400
adaptive_greedy,label_K10_min15,800,4,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,5,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,5,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,5,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,5,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,6,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,6,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,6,0.1111111111111111,0.4,0.6,400,400
adaptive_greedy,label_K10_min15,800,6,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,7,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,7,0.16666666666666666,0.375,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,7,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,7,0.2222222222222222,0.4,0.6,775,25
candidate_only,label_K10_min15,800,8,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,8,0.16666666666666666,0.42857142857142855,0.5714285714285714,640,160
fixed_mix_50_50,label_K10_min15,800,8,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,8,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,9,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,9,0.16666666666666666,0.42857142857142855,0.5714285714285714,640,160
fixed_mix_50_50,label_K10_min15,800,9,0.1111111111111111,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,9,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,10,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,10,0.2222222222222222,0.5,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,10,0.16666666666666666,0.6,0.4,400,400
adaptive_greedy,label_K10_min15,800,10,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,11,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,11,0.16666666666666666,0.42857142857142855,0.5714285714285714,640,160
fixed_mix_50_50,label_K10_min15,800,11,0.16666666666666666,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,11,0.2222222222222222,0.36363636363636365,0.5454545454545454,775,25
candidate_only,label_K10_min15,800,12,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,12,0.2222222222222222,0.4444444444444444,0.5555555555555556,640,160
fixed_mix_50_50,label_K10_min15,800,12,0.16666666666666666,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,12,0.16666666666666666,0.6,0.6,474,326
candidate_only,label_K10_min15,800,13,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,13,0.2222222222222222,0.5,0.625,640,160
fixed_mix_50_50,label_K10_min15,800,13,0.16666666666666666,0.5,0.5,400,400
adaptive_greedy,label_K10_min15,800,13,0.16666666666666666,0.3,0.6,775,25
candidate_only,label_K10_min15,800,14,0.2777777777777778,0.45454545454545453,0.6363636363636364,800,0
fixed_mix_80_20,label_K10_min15,800,14,0.1111111111111111,0.2857142857142857,0.5714285714285714,640,160
fixed_mix_50_50,label_K10_min15,800,14,0.2222222222222222,0.5714285714285714,0.42857142857142855,400,400
adaptive_greedy,label_K10_min15,800,14,0.16666666666666666,0.3,0.5,775,25
