workload_id,video_id,query_id,cost_tier,verify_scan_cost_ratio,deadline_level,deadline_fraction,base_seed,chunk_count,policy,normalized_anytime_event_auc,terminal_event_recall,committed_events,oracle_failures,scan_actions,verify_actions
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,10834653013843659315,,sequential,0.1285335689045935,0.25,12,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,10834653013843659315,,uniform_stride,0.14726884570082463,0.3333333333333333,16,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,10834653013843659315,,random_temporal,0.21359687868080088,0.375,18,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,10834653013843659315,,largest_gap,0.15761189634864514,0.3541666666666667,17,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,10834653013843659315,,datb_sv,0.13858215547703184,0.3125,15,0,129,97
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,10834653013843659315,3,exsample_end_to_end_adapted,0.16173439340400453,0.2916666666666667,14,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,10834653013843659315,6,exsample_end_to_end_adapted,0.14255742049469963,0.2708333333333333,13,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,10834653013843659315,12,exsample_end_to_end_adapted,0.18024882214369836,0.3541666666666667,17,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,13566490167741466441,,sequential,0.1285335689045935,0.25,12,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,13566490167741466441,,uniform_stride,0.14726884570082463,0.3333333333333333,16,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,13566490167741466441,,random_temporal,0.14336719670200246,0.3125,15,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,13566490167741466441,,largest_gap,0.15761189634864514,0.3541666666666667,17,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,13566490167741466441,,datb_sv,0.13858215547703184,0.3125,15,0,129,97
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,13566490167741466441,3,exsample_end_to_end_adapted,0.11355270906949357,0.3125,15,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,13566490167741466441,6,exsample_end_to_end_adapted,0.14023851590106023,0.3125,15,0,113,113
DALI::Q_DRIVER_RESPONSE_V1,DALI,Q_DRIVER_RESPONSE_V1,C1_SIMULATED,1.0,0,0.2,13566490167741466441,12,exsample_end_to_end_adapted,0.20145023557126074,0.2708333333333333,13,0,113,113
