run_id,method,family,task_id,video_id,query_id,deadline_name,deadline_seconds,replicate,deadline_met,planned_schedule_complete,AnytimeAUC_F1,F1_at_deadline,precision,recall,unique_confirmed_events,TTFC,TTFC_censored,time_to_second_unique_event,candidate_precision_at_admission,physical_oracle_calls,redundant_VERIFY,queries_per_unique_event,false_positive_candidates_before_hit,candidate_survival_time_mean,candidate_to_VERIFY_conversion,unique_temporal_cells_in_frontier_mean,frontier_temporal_entropy_mean,positive_candidate_exposure,positive_candidate_to_VERIFY,proxy_GPU_seconds,oracle_GPU_seconds,total_GPU_seconds,scheduler_CPU_seconds,total_wall_clock,deadline_miss,cache_replay_calls,future_proxy_accesses,visibility_violations,snapshot_exists,action_ledger_valid,scan_actions,verify_opportunities,verify_rejected,scan_signature,query_signature,positive_units_scanned,unique_reference_events_touched,time_to_first_positive_unit_scan,time_to_first_positive_unit_scan_censored,temporal_coverage,max_unobserved_gap_seconds,positive_exposure_per_scan_action,positive_unit_to_candidate_conversion,positive_candidate_frontier_entry,positive_candidate_survival,positive_candidate_to_VERIFY_conversion,unique_temporal_cells_verified,negative_VERIFY_before_first_TP,first_TP_censored,reference_visibility
F0__Y8__V0_Q2__T_transition__r02__attempt_001,F0,Y8,V0_Q2,V0,Q2,T_transition,122.2528144965554,2,True,True,0.06961286574403901,0.08333333333333333,1.0,0.043478260869565216,1,20.128389348,20.128389348,,1.0,1,0,1.0,0,18.536750641999998,1.0,0.6,0.0,1,1,12.502573582999998,14.9313606,27.433934182999998,0.003401833,20.128389348,False,0,0,0,True,True,3,1,0,"(173, 0, 346)","(173,)",1,1,1.621405554,1.621405554,0.007215007215007215,1730.0,0.3333333333333333,1.0,1.0,1.0,1.0,1,0,False,evaluator_only
F0__Y8__V1_Q1__T_high__r00__attempt_001,F0,Y8,V1_Q1,V1,Q1,T_high,202.7927274621175,0,True,True,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,4,0,4.0,4,38.28312549833333,0.3333333333333333,4.705882352941177,0.8823529411764706,0,0,15.946481538,59.4811565,75.427638038,0.020120232000000002,82.21932799,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 0, 566, 141)",0,0,,202.7927274621175,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q1__T_high__r01__attempt_001,F0,Y8,V1_Q1,V1,Q1,T_high,202.7927274621175,1,True,True,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,4,0,4.0,4,40.28087466,0.3333333333333333,4.705882352941177,0.8823529411764706,0,0,15.962695522,61.332748898,77.29544442,0.02015804,85.706882613,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 0, 566, 141)",0,0,,202.7927274621175,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q1__T_high__r02__attempt_001,F0,Y8,V1_Q1,V1,Q1,T_high,202.7927274621175,2,True,True,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,4,0,4.0,4,38.14358248566666,0.3333333333333333,4.705882352941177,0.8823529411764706,0,0,16.244545998,59.07999052900001,75.324536527,0.020541897000000003,82.588477859,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 0, 566, 141)",0,0,,202.7927274621175,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q1__T_transition__r00__attempt_001,F0,Y8,V1_Q1,V1,Q1,T_transition,199.19407308333996,0,True,True,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,4,0,4.0,4,38.31489142941667,0.3333333333333333,4.705882352941177,0.8823529411764706,0,0,17.122325881000002,59.875093254,76.997419135,0.019408229000000003,83.558723653,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 0, 566, 141)",0,0,,199.19407308333996,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q1__T_transition__r01__attempt_001,F0,Y8,V1_Q1,V1,Q1,T_transition,199.19407308333996,1,True,True,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,4,0,4.0,4,38.450762450333336,0.3333333333333333,4.705882352941177,0.8823529411764706,0,0,16.717777057000003,59.942828276,76.660605333,0.01970965,83.110232352,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 0, 566, 141)",0,0,,199.19407308333996,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q1__T_transition__r02__attempt_001,F0,Y8,V1_Q1,V1,Q1,T_transition,199.19407308333996,2,True,True,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,4,0,4.0,4,39.32321417691667,0.3333333333333333,4.705882352941177,0.8823529411764706,0,0,16.158672009,61.417707373,77.576379382,0.020048546,85.217046079,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 0, 566, 141)",0,0,,199.19407308333996,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q2__T_high__r00__attempt_001,F0,Y8,V1_Q2,V1,Q2,T_high,202.7927274621175,0,True,True,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,4,0,4.0,4,35.041360049874996,0.5,2.764705882352941,0.7058823529411765,0,0,16.621942486000002,58.740052902,75.361995388,0.020129544,81.560835395,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 566, 424, 212)",0,0,,202.7927274621175,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q2__T_high__r01__attempt_001,F0,Y8,V1_Q2,V1,Q2,T_high,202.7927274621175,1,True,True,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,4,0,4.0,4,34.135230155624996,0.5,2.764705882352941,0.7058823529411765,0,0,16.465483745,58.444325272,74.909809017,0.020017065999999997,80.055694178,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 566, 424, 212)",0,0,,202.7927274621175,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
F0__Y8__V1_Q2__T_high__r02__attempt_001,F0,Y8,V1_Q2,V1,Q2,T_high,202.7927274621175,2,True,True,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,4,0,4.0,4,35.247245668625,0.5,2.764705882352941,0.7058823529411765,0,0,18.084767003,57.96884294499999,76.05360994799999,0.019926499000000004,81.286375451,False,0,0,0,True,True,12,4,0,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176)","(283, 566, 424, 212)",0,0,,202.7927274621175,0.02039265951216335,710.0,0.0,0.0,0.0,0.0,0.0,4,4,True,evaluator_only
