run_id,method,family,task_id,video_id,query_id,deadline_name,deadline_seconds,replicate,deadline_met,planned_schedule_complete,AnytimeAUC_F1,F1_at_deadline,precision,recall,unique_confirmed_events,TTFC,TTFC_censored,time_to_second_unique_event,candidate_precision_at_admission,physical_oracle_calls,redundant_VERIFY,queries_per_unique_event,false_positive_candidates_before_hit,candidate_survival_time_mean,candidate_to_VERIFY_conversion,unique_temporal_cells_in_frontier_mean,frontier_temporal_entropy_mean,positive_candidate_exposure,positive_candidate_to_VERIFY,proxy_GPU_seconds,oracle_GPU_seconds,total_GPU_seconds,scheduler_CPU_seconds,total_wall_clock,deadline_miss,cache_replay_calls,future_proxy_accesses,visibility_violations,snapshot_exists,action_ledger_valid,scan_actions,verify_opportunities,verify_rejected,scan_signature,query_signature,positive_units_scanned,unique_reference_events_touched,time_to_first_positive_unit_scan,time_to_first_positive_unit_scan_censored,temporal_coverage,max_unobserved_gap_seconds,positive_exposure_per_scan_action,positive_unit_to_candidate_conversion,positive_candidate_frontier_entry,positive_candidate_survival,positive_candidate_to_VERIFY_conversion,unique_temporal_cells_verified,negative_VERIFY_before_first_TP,first_TP_censored,reference_visibility
ST1__Y8__V0_Q2__T_high__r01__attempt_001,ST1,Y8,V0_Q2,V0,Q2,T_high,123.9524739725,1,True,False,0.08873483296114133,0.16,1.0,0.08695652173913043,2,35.781642893,35.781642893,76.326393758,0.5,4,0,2.0,0,48.23499289365,0.2,7.462962962962963,0.9074074074074074,5,2,31.323547709000003,63.537755704999995,94.86130341399999,0.05771207500000001,121.945442656,False,0,0,0,True,True,49,31,27,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26, 37, 48, 58, 69, 80, 91, 101, 112, 123, 134, 145, 156, 167)","(173, 259, 129, 216)",5,5,1.546397596,1.546397596,0.13997113997113997,110.0,0.10204081632653061,1.0,0.6,1.0,0.4,4,0,False,evaluator_only
ST1__Y8__V0_Q2__T_high__r02__attempt_001,ST1,Y8,V0_Q2,V0,Q2,T_high,123.9524739725,2,True,False,0.08924715381298182,0.16,1.0,0.08695652173913043,2,35.641440221,35.641440221,75.650482266,0.5,4,0,2.0,0,45.67195107690476,0.19047619047619047,7.509090909090909,0.9090909090909091,6,2,31.623950391000005,63.314850964,94.93880135500001,0.058503373,121.400275066,False,0,0,0,True,True,50,32,28,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26, 37, 48, 58, 69, 80, 91, 101, 112, 123, 134, 145, 156, 167, 178)","(173, 259, 129, 216)",6,5,1.600970842,1.600970842,0.14285714285714285,110.0,0.12,1.0,0.5,1.0,0.3333333333333333,4,0,False,evaluator_only
ST1__Y8__V0_Q2__T_transition__r00__attempt_001,ST1,Y8,V0_Q2,V0,Q2,T_transition,122.2528144965554,0,True,False,0.08657604584105849,0.16,1.0,0.08695652173913043,2,36.589365357,36.589365357,77.310929578,0.5,4,0,2.0,0,52.01249164305556,0.2222222222222222,7.204081632653061,0.8979591836734694,5,2,28.810889362999998,63.028866125,91.839755488,0.05015926200000001,120.106418684,False,0,0,0,True,True,44,26,22,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26, 37, 48, 58, 69, 80, 91, 101, 112)","(173, 259, 129, 216)",5,5,1.56913627,1.56913627,0.12554112554112554,110.0,0.11363636363636363,1.0,0.6,1.0,0.4,4,0,False,evaluator_only
ST1__Y8__V0_Q2__T_transition__r01__attempt_001,ST1,Y8,V0_Q2,V0,Q2,T_transition,122.2528144965554,1,True,False,0.08882664500361943,0.16,1.0,0.08695652173913043,2,35.712910863,35.712910863,74.674787742,0.5,4,0,2.0,0,52.254777399611115,0.2222222222222222,7.26,0.9,5,2,29.890253881999993,60.881644605999995,90.77189848799999,0.052741787,119.331239239,False,0,0,0,True,True,45,27,23,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26, 37, 48, 58, 69, 80, 91, 101, 112, 123)","(173, 259, 129, 216)",5,5,1.610938857,1.610938857,0.12842712842712842,110.0,0.1111111111111111,1.0,0.6,1.0,0.4,4,0,False,evaluator_only
ST1__Y8__V0_Q2__T_transition__r02__attempt_001,ST1,Y8,V0_Q2,V0,Q2,T_transition,122.2528144965554,2,True,False,0.0879510860268046,0.16,1.0,0.08695652173913043,2,35.994053602,35.994053602,75.765365841,0.5,4,0,2.0,0,52.059445596277776,0.2222222222222222,7.145833333333333,0.8958333333333334,5,2,29.226239143,64.447280774,93.67351991700001,0.049775283,119.90053737,False,0,0,0,True,True,43,25,21,"(173, 0, 346, 86, 259, 43, 129, 216, 302, 151, 324, 21, 64, 107, 194, 237, 280, 32, 75, 118, 140, 162, 205, 248, 291, 313, 335, 10, 53, 96, 183, 226, 269, 5, 15, 26, 37, 48, 58, 69, 80, 91, 101)","(173, 259, 129, 216)",5,5,1.69836743,1.69836743,0.12265512265512266,110.0,0.11627906976744186,1.0,0.6,1.0,0.4,4,0,False,evaluator_only
ST1__Y8__V1_Q1__T_high__r00__attempt_001,ST1,Y8,V1_Q1,V1,Q1,T_high,202.7927274621175,0,True,False,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,9,0,9.0,9,54.74307996788571,0.2571428571428571,8.577777777777778,0.9555555555555556,2,0,25.536919594999997,136.29879939100002,161.83571898600002,0.06509590099999998,200.297361605,False,0,0,0,True,True,35,19,10,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61)","(283, 0, 566, 141, 424, 212, 495, 70, 353)",2,2,111.877785645,111.877785645,0.060988999748596215,180.0,0.05714285714285714,1.0,0.0,0.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q1__T_high__r01__attempt_001,ST1,Y8,V1_Q1,V1,Q1,T_high,202.7927274621175,1,True,False,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,9,0,9.0,9,49.28048480441026,0.23076923076923078,8.693877551020408,0.9591836734693877,3,0,27.195818604000003,134.32149920499998,161.517317809,0.07744856000000001,200.452596957,False,0,0,0,True,True,39,23,14,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61, 96, 114, 132, 167)","(283, 0, 566, 141, 424, 212, 495, 70, 353)",3,3,110.060320978,110.060320978,0.06804923283319324,180.0,0.07692307692307693,1.0,0.0,0.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q1__T_high__r02__attempt_001,ST1,Y8,V1_Q1,V1,Q1,T_high,202.7927274621175,2,True,False,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,9,0,9.0,9,51.88566731583783,0.24324324324324326,8.638297872340425,0.9574468085106383,2,0,26.389327039999998,135.34295915500002,161.73228619500003,0.077550111,200.441120676,False,0,0,0,True,True,37,21,12,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61, 96, 114)","(283, 0, 566, 141, 424, 212, 495, 70, 353)",2,2,109.32334874,109.32334874,0.06451911629089473,180.0,0.05405405405405406,1.0,0.0,0.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q1__T_transition__r00__attempt_001,ST1,Y8,V1_Q1,V1,Q1,T_transition,199.19407308333996,0,True,False,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,9,0,9.0,9,48.338952175512816,0.23076923076923078,8.693877551020408,0.9591836734693877,3,0,26.869957476,135.327880177,162.197837653,0.067891253,196.906068425,False,0,0,0,True,True,39,23,14,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61, 96, 114, 132, 167)","(283, 0, 566, 141, 424, 212, 495, 70, 353)",3,3,107.190837485,107.190837485,0.06804923283319324,180.0,0.07692307692307693,1.0,0.0,0.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q1__T_transition__r01__attempt_001,ST1,Y8,V1_Q1,V1,Q1,T_transition,199.19407308333996,1,True,False,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,8,0,8.0,8,44.540130278999996,0.19047619047619047,8.764705882352942,0.9607843137254902,3,0,29.956667321999998,122.38102266399999,152.337689986,0.085771457,195.760677417,False,0,0,0,True,True,42,26,18,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61, 96, 114, 132, 167, 185, 203, 238)","(283, 0, 566, 141, 424, 212, 495, 70)",3,3,113.340283455,113.340283455,0.073344407646641,180.0,0.07142857142857142,1.0,0.0,0.0,0.0,8,8,True,evaluator_only
ST1__Y8__V1_Q1__T_transition__r02__attempt_001,ST1,Y8,V1_Q1,V1,Q1,T_transition,199.19407308333996,2,True,False,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,9,0,9.0,9,53.76401409345715,0.2571428571428571,8.577777777777778,0.9555555555555556,2,0,25.838071168,136.544058463,162.382129631,0.06418717800000001,197.000158611,False,0,0,0,True,True,35,19,10,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61)","(283, 0, 566, 141, 424, 212, 495, 70, 353)",2,2,110.810111126,110.810111126,0.060988999748596215,180.0,0.05714285714285714,1.0,0.0,0.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q2__T_high__r00__attempt_001,ST1,Y8,V1_Q2,V1,Q2,T_high,202.7927274621175,0,True,False,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,9,0,9.0,9,67.82066955992858,0.32142857142857145,8.08695652173913,0.9347826086956522,4,0,26.194430194999995,137.601162266,163.79559246099998,0.074365408,200.866034587,False,0,0,0,True,True,36,17,8,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61, 96)","(283, 566, 424, 212, 495, 70, 353, 105, 247)",4,4,36.778805527,36.778805527,0.06275405801974547,180.0,0.1111111111111111,1.0,0.5,1.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q2__T_high__r01__attempt_001,ST1,Y8,V1_Q2,V1,Q2,T_high,202.7927274621175,1,True,False,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,9,0,9.0,9,75.5171460798,0.36,7.953488372093023,0.9302325581395349,4,0,25.287957572,138.632877483,163.920835055,0.071159102,200.369447937,False,0,0,0,True,True,33,14,5,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512)","(283, 566, 424, 212, 495, 70, 353, 105, 247)",4,4,39.81952298,39.81952298,0.05745888320629771,180.0,0.12121212121212122,1.0,0.5,1.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q2__T_high__r02__attempt_001,ST1,Y8,V1_Q2,V1,Q2,T_high,202.7927274621175,2,True,False,0.0,0.0,0.0,0.0,0,,202.7927274621175,,0.0,9,0,9.0,9,70.0259025217037,0.3333333333333333,8.044444444444444,0.9333333333333333,4,0,25.631035907000005,138.711093808,164.342129715,0.061363986000000016,199.785261227,False,0,0,0,True,True,35,16,7,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61)","(283, 566, 424, 212, 495, 70, 353, 105, 247)",4,4,36.500949428,36.500949428,0.060988999748596215,180.0,0.11428571428571428,1.0,0.5,1.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q2__T_transition__r00__attempt_001,ST1,Y8,V1_Q2,V1,Q2,T_transition,199.19407308333996,0,True,False,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,9,0,9.0,9,71.74463853761539,0.34615384615384615,8.0,0.9318181818181818,4,0,24.608481492000003,136.445617806,161.054099298,0.060483027999999994,196.916890432,False,0,0,0,True,True,34,15,6,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26)","(283, 566, 424, 212, 495, 70, 353, 105, 247)",4,4,36.583069845,36.583069845,0.059223941477446966,180.0,0.11764705882352941,1.0,0.5,1.0,0.0,9,9,True,evaluator_only
ST1__Y8__V1_Q2__T_transition__r01__attempt_001,ST1,Y8,V1_Q2,V1,Q2,T_transition,199.19407308333996,1,True,False,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,8,0,8.0,8,51.468373042194436,0.2222222222222222,8.407407407407407,0.9444444444444444,4,0,30.210345144999998,123.969603054,154.179948199,0.081222843,196.760165662,False,0,0,0,True,True,45,26,18,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61, 96, 114, 132, 167, 185, 203, 238, 256, 274, 309)","(283, 566, 424, 212, 495, 70, 353, 105)",4,4,40.150190021,40.150190021,0.07863958246008877,180.0,0.08888888888888889,1.0,0.5,1.0,0.0,8,8,True,evaluator_only
ST1__Y8__V1_Q2__T_transition__r02__attempt_001,ST1,Y8,V1_Q2,V1,Q2,T_transition,199.19407308333996,2,True,False,0.0,0.0,0.0,0.0,0,,199.19407308333996,,0.0,8,0,8.0,8,54.48960424973529,0.23529411764705882,8.346153846153847,0.9423076923076923,4,0,28.962715574999994,123.27421431299999,152.236929888,0.07546374400000001,196.292696302,False,0,0,0,True,True,43,24,16,"(283, 0, 566, 141, 424, 212, 495, 70, 353, 35, 105, 176, 247, 318, 388, 459, 530, 123, 194, 265, 406, 477, 548, 17, 52, 87, 158, 229, 300, 335, 370, 441, 512, 26, 61, 96, 114, 132, 167, 185, 203, 238, 256)","(283, 566, 424, 212, 495, 70, 353, 105)",4,4,40.181689232,40.181689232,0.07510946591779026,180.0,0.09302325581395349,1.0,0.5,1.0,0.0,8,8,True,evaluator_only
