check,status,detail
ABae-stratified-confirmed B=10 s=4 K2_gap_duration confirmed anchor,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K2_gap_duration no NaN,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K2_gap_duration nonnegative duration,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=10 s=4 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K3_gap_duration_negative_barrier no NaN,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=10 s=4 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=8
ABae-stratified-confirmed B=10 s=4 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=2
ABae-stratified-confirmed B=10 s=4 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ABae-stratified-confirmed B=10 s=4 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=8
