mode,width_mode,scenario,planner,budget,runs,missing_mass_fraction_mean,missing_mass_fraction_std,missing_mass_fraction_p025,missing_mass_fraction_p975,found_positive_bins_mean,found_positive_bins_std,found_positive_bins_p025,found_positive_bins_p975,audit_calls_mean,audit_calls_std,audit_calls_p025,audit_calls_p975,discover_calls_mean,discover_calls_std,discover_calls_p025,discover_calls_p975,repair_calls_mean,repair_calls_std,repair_calls_p025,repair_calls_p975,phi_upper_missing_mass_mean,phi_upper_missing_mass_std,phi_upper_missing_mass_p025,phi_upper_missing_mass_p975,phi_true_missing_mass_mean,phi_true_missing_mass_std,phi_true_missing_mass_p025,phi_true_missing_mass_p975
full,narrow,none,v1_full_planner,160,120,0.810975,0.105601,0.592492,0.945827,16.500000,9.783489,3.975000,39.050000,56.266667,0.512076,56.000000,58.000000,66.416667,22.194437,12.950000,93.000000,37.316667,22.229104,11.000000,91.025000,10.487311,2.780566,6.563153,17.299443,0.810975,0.105601,0.592492,0.945827
full,narrow,strong,top_prior_only,20,120,0.754934,0.067880,0.549712,0.840269,19.700000,0.714143,18.000000,20.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,24.847941,8.242587,15.813403,49.581763,0.754934,0.067880,0.549712,0.840269
full,narrow,strong,top_prior_only,40,120,0.543674,0.088791,0.365625,0.680537,37.341667,3.462889,26.925000,40.000000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,24.636681,8.230810,15.653672,49.358542,0.543674,0.088791,0.365625,0.680537
full,narrow,strong,top_prior_only,80,120,0.270576,0.072043,0.146000,0.413344,61.158333,9.974965,35.875000,75.000000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,24.363582,8.262249,15.373955,49.135321,0.270576,0.072043,0.146000,0.413344
full,narrow,strong,top_prior_only,120,120,0.156811,0.051068,0.074613,0.256910,71.475000,14.373565,36.925000,96.075000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,24.249817,8.288284,15.182091,49.109022,0.156811,0.051068,0.074613,0.256910
full,narrow,strong,top_prior_only,160,120,0.103754,0.038817,0.036103,0.177833,76.241667,16.374775,37.950000,111.000000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,24.196760,8.296053,15.086625,49.084006,0.103754,0.038817,0.036103,0.177833
full,narrow,strong,uniform,20,120,0.988768,0.011000,0.962954,1.000000,0.975000,1.003847,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,25.081775,8.310205,15.972948,50.032051,0.988768,0.011000,0.962954,1.000000
full,narrow,strong,uniform,40,120,0.978617,0.014466,0.949954,1.000000,1.833333,1.299573,0.000000,4.025000,0.000000,0.000000,0.000000,0.000000,40.000000,0.000000,40.000000,40.000000,0.000000,0.000000,0.000000,0.000000,25.071624,8.310137,15.956975,50.031410,0.978617,0.014466,0.949954,1.000000
full,narrow,strong,uniform,80,120,0.956840,0.021006,0.911019,1.000000,3.716667,2.029710,0.000000,7.025000,0.000000,0.000000,0.000000,0.000000,80.000000,0.000000,80.000000,80.000000,0.000000,0.000000,0.000000,0.000000,25.049846,8.311476,15.925401,49.982660,0.956840,0.021006,0.911019,1.000000
full,narrow,strong,uniform,120,120,0.935971,0.027608,0.872908,0.981374,5.541667,2.946455,1.000000,11.025000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,120.000000,120.000000,0.000000,0.000000,0.000000,0.000000,25.028977,8.312228,15.886028,49.957644,0.935971,0.027608,0.872908,0.981374
full,narrow,strong,uniform,160,120,0.915674,0.032348,0.846667,0.973701,7.216667,3.291867,1.975000,14.000000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,160.000000,160.000000,0.000000,0.000000,0.000000,0.000000,25.008681,8.308722,15.846842,49.859503,0.915674,0.032348,0.846667,0.973701
full,narrow,strong,v1_full_planner,20,120,0.923265,0.031427,0.844167,0.963964,6.150000,1.681517,3.975000,11.000000,7.291667,0.522746,7.000000,9.000000,1.058333,0.234373,1.000000,2.000000,11.650000,0.542371,10.000000,12.000000,21.236697,7.024424,13.607081,41.665141,0.923265,0.031427,0.844167,0.963964
full,narrow,strong,v1_full_planner,40,120,0.848517,0.054831,0.724536,0.917434,12.216667,2.778439,8.000000,18.000000,14.191667,0.433894,14.000000,15.000000,4.966667,4.569707,1.000000,15.000000,20.841667,4.525844,11.000000,25.000000,18.535376,6.062700,11.819597,36.657308,0.848517,0.054831,0.724536,0.917434
full,narrow,strong,v1_full_planner,80,120,0.620144,0.131774,0.341886,0.838046,30.458333,7.355152,17.975000,43.025000,28.300000,0.585947,28.000000,30.000000,21.391667,13.446992,1.000000,41.000000,30.308333,13.441104,11.000000,51.000000,14.511504,4.667872,9.548403,28.375422,0.620144,0.131774,0.341886,0.838046
full,narrow,strong,v1_full_planner,120,120,0.403633,0.139058,0.193554,0.680994,48.908333,9.136006,30.000000,65.025000,42.250000,0.469929,42.000000,43.000000,40.041667,19.764191,2.950000,67.000000,37.708333,19.804207,11.000000,75.025000,11.938297,3.838972,7.800615,24.169442,0.403633,0.139058,0.193554,0.680994
full,narrow,strong,v1_full_planner,160,120,0.263593,0.113886,0.074886,0.532053,61.425000,11.259561,36.900000,78.075000,56.241667,0.465400,56.000000,57.000000,54.475000,29.613331,6.000000,93.000000,49.283333,29.625772,11.000000,98.000000,10.061522,3.262866,6.738144,20.429531,0.263593,0.113886,0.074886,0.532053
full,narrow,weak,top_prior_only,20,120,0.933341,0.024866,0.878693,0.978272,5.641667,2.351580,1.000000,11.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,25.264428,7.709311,15.547310,44.468561,0.933341,0.024866,0.878693,0.978272
