trace_instance_id,video_id,query_id,proxy_id,budget,C1_precision,C1_recall,C1_F1,C1_mean_iou
eccd9053a2498708799187beeb55a838f4af9760172a242362720a300b42aa19,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.0,0.0,0.0,0.0
7a5e426ee413880e0edceb9858aeacdcfa6590d4e021e15d7578e6f54670d7ce,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.2,0.01694915254237288,0.03125,0.4
ebb4793181d74658cce01c37361d035fcc31d804f011abb864a0095e84262aca,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.0,0.0,0.0,0.0
7cc75d7bd92a44b7f0371ef5fd093ec3c68e79e9384572465879003459426c05,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.2,0.01694915254237288,0.03125,0.4
c1c9c6083d0a8198dbd0043fc89e675167584489f1c9d205c7a0e9e4d27ee43a,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.2,0.01694915254237288,0.03125,0.4
4053123061d34ed6fce18bd4f09af0b8aefefd0231c0a1c6d12770049232e54e,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.14285714285714285,0.01694915254237288,0.030303030303030297,0.2
6a73b059282eff781c77c25a6d9267b3b26fc763c4d8a8acfbea2b4f44f3d3da,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.0,0.0,0.0,0.0
f222cfaaec82bce8250bdc38718401cb08328bb4cc4391ec552cbf5a9e0b0d63,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.16666666666666666,0.01694915254237288,0.030769230769230767,0.3
d38a62e703e77a340059a183fd14cf8a4e85d130bb170cbaa475bb03081f46e9,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.16666666666666666,0.01694915254237288,0.030769230769230767,0.6666666666666666
308164a71c8038dd7cac0741042dd59e88a9fdecb0fccff4bbfb65001c67a340,DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,0.0,0.0,0.0,0.0
