variant,segment_id,method_id,seed,budget_abs,budget_ratio,oracle_calls_total,returned_intervals,event_precision,event_recall,unique_event_coverage,strict_replay_or_posthoc,online_uses_event_id,can_be_main_comparison,applicability_note
oracle_ceiling,realcartest_3200_3830,ECP-oracle-ceiling,1,13,0.2,13,"[(0.0, 40.0)]",1.0,0.1429,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,realcartest_3200_3830,ECP-oracle-ceiling,2,13,0.2,13,"[(0.0, 40.0)]",1.0,0.1429,1,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,realcartest_3200_3830,ECP-oracle-ceiling,0,19,0.3,19,"[(0.0, 40.0), (160.0, 180.0), (580.0, 590.0)]",0.6667,0.2857,2,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,realcartest_3200_3830,ECP-oracle-ceiling,1,19,0.3,19,"[(0.0, 40.0), (160.0, 180.0), (580.0, 590.0)]",0.6667,0.2857,2,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,realcartest_3200_3830,ECP-oracle-ceiling,2,19,0.3,19,"[(0.0, 40.0), (160.0, 180.0), (580.0, 590.0)]",0.6667,0.2857,2,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,0,12,0.1,12,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,1,12,0.1,12,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,2,12,0.1,12,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,0,24,0.2,24,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,1,24,0.2,24,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,2,24,0.2,24,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,0,36,0.3,36,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
oracle_ceiling,dataset3_0_1200,ECP-oracle-ceiling,1,36,0.3,36,[],0.0,0.0,0,OFFLINE_CEILING,False,False,T028c-0 candidate-level event-utility oracle ceiling (NOT strict-replay; uses reference to select)
