selector,budget,seed,event_id,event_t_start,event_t_end,best_interval_id,best_iou,covered_iou_0_3,covered_iou_0_5,any_overlap,center_hit
uniform_random,5,3,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,3,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,3,realcartest_event_0037,830.0,880.7,,0.0,False,False,False,False
uniform_random,5,3,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,3,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,3,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,3,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0033,700.0,710.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0037,830.0,880.7,iv2_0011685,0.0671428571428578,False,False,True,False
uniform_random,5,4,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0039,980.0,980.7,iv2_0011455,0.03500000000000227,False,False,True,True
uniform_random,5,4,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,4,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0024,90.0,90.7,iv2_0004580,0.08750000000000036,False,False,True,True
uniform_random,5,5,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0032,580.0,580.7,iv2_0005100,0.02187500000000142,False,False,True,True
uniform_random,5,5,realcartest_event_0033,700.0,710.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0037,830.0,880.7,iv2_0001527,0.11834319526627209,False,False,True,False
uniform_random,5,5,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0039,980.0,980.7,iv2_0008177,0.02916666666666856,False,False,True,True
uniform_random,5,5,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,5,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0033,700.0,710.7,iv2_0009958,0.5607476635513995,True,True,True,True
uniform_random,5,6,realcartest_event_0034,760.0,770.7,iv2_0011389,0.3821428571428588,True,False,True,True
uniform_random,5,6,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0037,830.0,880.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,6,realcartest_event_0040,1060.0,1060.7,iv2_0011484,0.02187500000000142,False,False,True,True
uniform_random,5,6,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0022,30.0,50.7,iv2_0010241,0.09661835748792269,False,False,True,False
uniform_random,5,7,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0026,250.0,250.7,iv2_0001228,0.11666666666666477,False,False,True,True
uniform_random,5,7,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0033,700.0,710.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0037,830.0,880.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,7,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0033,700.0,710.7,iv2_0002654,0.03181818181818388,False,False,True,False
uniform_random,5,8,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0037,830.0,880.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,8,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0033,700.0,710.7,iv2_0008462,0.1621212121212128,False,False,True,True
uniform_random,5,9,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0037,830.0,880.7,iv2_0004730,0.15779092702169611,False,False,True,True
uniform_random,5,9,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
uniform_random,5,9,realcartest_event_0041,1110.0,1110.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0022,30.0,50.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0023,70.0,70.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0024,90.0,90.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0025,120.5,120.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0026,250.0,250.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0027,320.0,320.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0028,380.0,400.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0029,490.0,500.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0030,530.0,530.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0031,560.0,560.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0032,580.0,580.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0033,700.0,710.7,iv2_0005654,0.4724409448818881,True,False,True,True
uniform_random,5,10,realcartest_event_0034,760.0,770.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0035,790.0,790.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0036,810.0,810.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0037,830.0,880.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0038,960.0,960.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0039,980.0,980.7,,0.0,False,False,False,False
uniform_random,5,10,realcartest_event_0040,1060.0,1060.7,,0.0,False,False,False,False
