run_id,method,budget,detection_rule,event_detection_recall,event_detection_precision,event_detection_f1,detected_reference_count,predicted_segment_count,duplicate_detection_rate,oracle_calls,proxy_calls,strict_boundary_iou_0.5_recall,strict_boundary_iou_0.5_precision,strict_boundary_iou_0.5_f1,output_dir,matched_mean_iou,median_start_error_seconds,median_end_error_seconds,mean_start_error_seconds,mean_end_error_seconds,mean_coverage_ratio,mean_overcoverage_ratio,mean_prediction_duration,mean_reference_duration,all_reference_best_iou_mean,family,seed,selected_threshold,diagnostic_upper_bound
ARC_proxy_only_b5_s0_th0.3,ARC-proxy-only,5,iou_0.1,0.25,0.23809523809523808,0.24390243902439024,5,21,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.3,0.3559478260869565,10.0,19.299999999999955,28.0,15.859999999999982,0.7932367149758455,3.027943345512807,58.0,22.700000000000014,0.09802028985507247,baseline,0,0.3,False
ARC_proxy_only_b5_s0_th0.3,ARC-proxy-only,5,iou_0.3,0.2,0.19047619047619047,0.1951219512195122,4,21,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.3,0.4152125603864735,5.0,14.999999999999979,22.5,12.49999999999999,0.7415458937198068,1.6821254435732604,50.0,25.700000000000006,0.09802028985507247,baseline,0,0.3,False
ARC_proxy_only_b5_s0_th0.3,ARC-proxy-only,5,iou_0.5,0.0,0.0,0.0,0,21,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.3,0.0,,,,,0.0,0.0,0.0,0.0,0.09802028985507247,baseline,0,0.3,False
ARC_proxy_only_b5_s0_th0.4,ARC-proxy-only,5,overlap_any,0.3,0.46153846153846156,0.3636363636363637,6,13,0.0,0,120,0.05,0.07692307692307693,0.060606060606060615,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.4,0.20750000000000002,0.0,9.299999999999955,3.3333333333333335,12.633333333333297,0.8113636503284245,10.311228032291394,21.666666666666668,12.366666666666703,0.06225000000000001,baseline,0,0.4,False
ARC_proxy_only_b5_s0_th0.4,ARC-proxy-only,5,overlap_min_seconds_1.0,0.1,0.15384615384615385,0.12121212121212123,2,13,0.0,0,120,0.05,0.07692307692307693,0.060606060606060615,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.4,0.5175000000000001,5.0,14.299999999999983,5.0,14.299999999999983,0.90138067061144,1.8949658058213066,40.0,30.700000000000017,0.06225000000000001,baseline,0,0.4,False
ARC_proxy_only_b5_s0_th0.4,ARC-proxy-only,5,iou_0.1,0.1,0.15384615384615385,0.12121212121212123,2,13,0.0,0,120,0.05,0.07692307692307693,0.060606060606060615,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.4,0.5175000000000001,5.0,14.299999999999983,5.0,14.299999999999983,0.90138067061144,1.8949658058213066,40.0,30.700000000000017,0.06225000000000001,baseline,0,0.4,False
ARC_proxy_only_b5_s0_th0.4,ARC-proxy-only,5,iou_0.3,0.1,0.15384615384615385,0.12121212121212123,2,13,0.0,0,120,0.05,0.07692307692307693,0.060606060606060615,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.4,0.5175000000000001,5.0,14.299999999999983,5.0,14.299999999999983,0.90138067061144,1.8949658058213066,40.0,30.700000000000017,0.06225000000000001,baseline,0,0.4,False
ARC_proxy_only_b5_s0_th0.4,ARC-proxy-only,5,iou_0.5,0.05,0.07692307692307693,0.060606060606060615,1,13,0.0,0,120,0.05,0.07692307692307693,0.060606060606060615,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.4,0.6783333333333333,10.0,9.299999999999955,10.0,9.299999999999955,0.8027613412228799,0.9861932938856007,50.0,50.700000000000045,0.06225000000000001,baseline,0,0.4,False
ARC_proxy_only_b5_s0_th0.5,ARC-proxy-only,5,overlap_any,0.05,0.5,0.09090909090909091,1,2,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.5,0.011666666666666667,50.0,9.299999999999955,50.0,9.299999999999955,0.013806706114399306,0.19723865877712013,10.0,50.700000000000045,0.0005833333333333334,baseline,0,0.5,False
ARC_proxy_only_b5_s0_th0.5,ARC-proxy-only,5,overlap_min_seconds_1.0,0.0,0.0,0.0,0,2,0.0,0,120,0.0,0.0,0.0,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_proxy_only_b5_s0_th0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0005833333333333334,baseline,0,0.5,False
