scope,method,domain,video_id,query_id,budget,event_precision,event_recall,event_f1,tiou_03,tiou_05,matched_mean_iou,verified_positive_units,verified_event_count,verified_event_yield,logical_oracle_calls,returned_event_count,overmerge,oversplit
task_seed_average,PSTR-5:4-FROZEN,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,5,1.0,0.1,0.18181818181818182,0.05,0.0,0.20056291390728398,2.0,2.0,0.4,5.0,2.0,0.0,0.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,10,1.0,0.15,0.2608695652173913,0.1,0.0,0.2947392050847268,3.0,3.0,0.3,10.0,3.0,0.0,0.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,20,1.0,0.35,0.5185185185185185,0.05,0.0,0.12398757001280132,7.0,7.0,0.35,20.0,7.0,0.0,0.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,50,0.7222222222222222,0.65,0.6842105263157895,0.1,0.05,0.17811427511535086,19.0,18.0,0.36,50.0,18.0,0.0,5.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,80,0.6666666666666666,0.7,0.6829268292682926,0.3,0.05,0.23678654435080643,26.0,21.0,0.2625,80.0,21.0,0.0,7.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,100,0.7619047619047619,0.8,0.7804878048780488,0.4,0.2,0.29607328068763256,33.0,21.0,0.21000000000000002,100.0,21.0,0.0,5.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_2000_3200,realcartest,realcartest_2000_3200:frozen_relevance_predicate,5,1.0,0.15,0.2608695652173913,0.05,0.05,0.32708203530633567,3.0,3.0,0.6,5.0,3.0,0.0,0.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_2000_3200,realcartest,realcartest_2000_3200:frozen_relevance_predicate,10,1.0,0.2,0.33333333333333337,0.05,0.05,0.2628115264797529,4.0,4.0,0.4,10.0,4.0,0.0,0.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_2000_3200,realcartest,realcartest_2000_3200:frozen_relevance_predicate,20,1.0,0.45,0.6206896551724138,0.1,0.05,0.1908523585213298,9.0,9.0,0.45,20.0,9.0,0.0,0.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_2000_3200,realcartest,realcartest_2000_3200:frozen_relevance_predicate,50,0.7857142857142857,0.55,0.6470588235294117,0.25,0.15,0.3152728793553371,16.0,14.0,0.28,50.0,14.0,0.0,3.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_2000_3200,realcartest,realcartest_2000_3200:frozen_relevance_predicate,80,0.8947368421052632,0.85,0.8717948717948719,0.25,0.2,0.26251820215762833,24.0,19.0,0.2375,80.0,19.0,0.0,2.0
task_seed_average,PSTR-5:4-FROZEN,realcartest_2000_3200,realcartest,realcartest_2000_3200:frozen_relevance_predicate,100,0.9523809523809523,1.0,0.975609756097561,0.3,0.3,0.23519773175542621,32.0,21.0,0.21000000000000002,100.0,21.0,0.0,1.0
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,long_video_dataset3,__within_video_query_average__,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
source_video_average,ARC-CACHED-REPLAY-v1,__within_video_average__,long_video_dataset3,__within_video_query_average__,10,0.2,0.007692307692307693,0.014814814814814814,0.0,0.0,0.01400000000000091,0.2,0.2,0.02,10.0,0.2,0.0,0.0
