run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,source_method,source_method_config,source_run_dir,stage0_5_variant
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,0,300,499,30.0,50.0,0.298775826048428,confirmed_anchor_selected_proxy_expand,80,3|4,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,1,600,1099,60.0,110.0,0.2861767376788752,confirmed_anchor_selected_proxy_expand,80,6|7|8|9|10,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,2,2500,2699,250.0,270.0,0.2670850784100204,confirmed_anchor_selected_proxy_expand,80,25|26,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,3,3800,4099,380.0,410.0,0.2822744858199662,confirmed_anchor_selected_proxy_expand,80,38|39|40,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,4,4900,5099,490.0,510.0,0.45232344458656976,confirmed_anchor_selected_proxy_expand,80,49|50,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,5,5600,5699,560.0,570.0,0.3856315896264007,confirmed_anchor_selected_proxy_expand,80,56,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,6,5800,5899,580.0,590.0,0.2866984648236633,confirmed_anchor_selected_proxy_expand,80,58,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,7,7000,7199,700.0,720.0,0.392924354368701,confirmed_anchor_selected_proxy_expand,80,70|71,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,8,7600,7799,760.0,780.0,0.3702127589221131,confirmed_anchor_selected_proxy_expand,80,76|77,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
repaired_selected_expand_b80_s2,repaired_selected_expand,80,realcartest,9,7900,7999,790.0,800.0,0.4111073851885846,confirmed_anchor_selected_proxy_expand,80,79,ARC-refinement,ARC-refinement@th0.4,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ARC_refinement_b80_s2_th0.4,common_materializer_selected_expand
