run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,selector,materializer_variant
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,0,300,599,30.0,60.0,0.3165879171464191,C2_duration_prior,80,3|4|5,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,1,900,999,90.0,100.0,0.2921969348167256,C2_duration_prior,80,9,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,2,1200,1299,120.0,130.0,0.3507529698913206,C2_duration_prior,80,12,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,3,3800,3999,380.0,400.0,0.3057345168207979,C2_duration_prior,80,38|39,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,4,4900,5099,490.0,510.0,0.45232344458656976,C2_duration_prior,80,49|50,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,5,5600,5899,560.0,590.0,0.3292559331111777,C2_duration_prior,80,56|57|58,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,6,7000,7199,700.0,720.0,0.392924354368701,C2_duration_prior,80,70|71,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,7,7600,7799,760.0,780.0,0.3702127589221131,C2_duration_prior,80,76|77,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,8,8100,8499,810.0,850.0,0.4188877993471394,C2_duration_prior,80,81|82|83|84,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,9,8500,8899,850.0,890.0,0.4874369807218173,C2_duration_prior,80,85|86|87|88,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,10,9800,9899,980.0,990.0,0.3893362928575637,C2_duration_prior,80,98,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,11,10600,10699,1060.0,1070.0,0.379637015441183,C2_duration_prior,80,106,ABae-stratified-confirmed,C2_duration_prior
ABae-stratified-confirmed_B80_s4_C2_duration_prior,ABae-stratified-confirmed,80,realcartest,12,11100,11199,1110.0,1120.0,0.4097589050237029,C2_duration_prior,80,111,ABae-stratified-confirmed,C2_duration_prior
