video_id,region_id,region_index,score,score_rank,residual_event_count,binary_positive,full_scan_cost_sec,selected_at_10,selected_at_20,selected_at_30
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0043,43,-1.3047183986502915,5,0,False,9.499311532825232,True,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0044,44,-3.015311186870786,39,0,False,10.280353661626577,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0045,45,-2.625835240905633,30,0,False,12.168716963380575,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0046,46,-6.5347453745724975,84,0,False,8.246914200484753,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0047,47,-5.08961132315686,77,0,False,6.216409597545862,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0048,48,-3.3230471449614725,53,0,False,7.113772422075272,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0049,49,-3.190475272747222,48,0,False,11.49289334565401,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0050,50,-1.2354643449128033,3,1,True,8.78199740499258,True,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0051,51,-2.3727346768468642,20,1,True,8.388663537800312,False,False,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0052,52,-2.5933631915336814,27,1,True,8.807375468313694,False,False,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0053,53,-4.147113949948769,68,0,False,9.51424690335989,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0054,54,-2.639578097245186,31,2,True,11.338541831821203,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0055,55,-3.6481849126152945,60,0,False,7.441438257694244,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0056,56,-3.178123558208906,46,0,False,7.289801519364119,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0057,57,-3.3398691808405108,55,1,True,10.15569719299674,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0058,58,-3.2464907518404433,49,1,True,9.69387836009264,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0059,59,-1.268173965631369,4,0,False,9.961583655327559,True,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0060,60,-2.6202107458058324,29,2,True,11.513104416429996,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0061,61,-3.0562253520809475,41,0,False,11.913559690117836,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0062,62,-1.589537681167368,8,3,True,7.420514430850744,True,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0063,63,-3.3466259246402426,56,1,True,9.251414109021425,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0064,64,-3.6642450626200516,62,0,False,9.63023766875267,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0065,65,-3.999736119340469,67,2,True,9.822442304342985,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0066,66,-2.99584470585279,38,3,True,8.616413705050945,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0067,67,-1.56781299397911,7,0,False,7.9286941438913345,True,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0068,68,-1.8302903651307707,13,2,True,6.921911578625441,False,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0069,69,-1.6456951576045968,9,2,True,9.150383558124304,False,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0070,70,-3.3314796355648824,54,0,False,11.318904280662537,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0071,71,-2.863679750038158,35,2,True,10.616432294249535,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0072,72,-2.4595951650196177,24,2,True,8.882696967571974,False,False,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0073,73,-2.1928271706808165,16,0,False,10.262980155646801,False,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0074,74,-2.418350930367771,21,0,False,8.191270921379328,False,False,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0075,75,-3.6504234577472428,61,0,False,8.592988576740026,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0076,76,-3.258287426114409,50,1,True,8.892696030437946,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0077,77,-4.703421380702995,74,0,False,8.61371774226427,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0078,78,-6.010822713134882,82,0,False,8.758794955909252,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0079,79,-5.3864593858541,80,1,True,6.346343670040369,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0080,80,-4.626594680754533,73,1,True,5.946531601250172,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0081,81,-4.840876278172362,75,0,False,10.311683289706707,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0082,82,-4.22179983875586,70,1,True,7.859299074858427,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0083,83,-3.527835979545716,59,2,True,7.413891904056072,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0084,84,-2.5959516741244704,28,1,True,7.1714222356677055,False,False,False
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0085,85,-2.109554557258583,14,1,True,7.565960329025984,False,True,True
PSP_V0_SHORT,PSP_V0_SHORT_L040_R0086,86,-1.068924026054449,2,1,True,6.156475815922022,True,True,True
