signal_id,discovery_budget,events_discovered_pre_audit,gate_b_total_calls,dense_cost_ratio,cold_semantic_seconds,warm_index_query_seconds,physical_exact_oracle_vlm_calls
current_proxy,5,0,315.0,0.9077809798270894,,,0
current_proxy,10,0,320.0,0.9221902017291066,,,0
current_proxy,20,3,323.0,0.930835734870317,,,0
current_proxy,24,4,318.0,0.9164265129682996,,,0
current_proxy,50,5,325.0,0.936599423631124,,,0
image_text,5,2,317.0,0.9135446685878964,378.9299591300078,0.8178258948028088,0
image_text,10,4,314.0,0.904899135446686,378.9299591300078,0.8178258948028088,0
image_text,20,7,317.0,0.9135446685878964,378.9299591300078,0.8178258948028088,0
image_text,24,8,312.0,0.899135446685879,378.9299591300078,0.8178258948028088,0
image_text,50,11,311.0,0.8962536023054755,378.9299591300078,0.8178258948028088,0
rank_fusion,5,1,316.0,0.9106628242074928,2021.9202284635976,3.4604738079942763,0
rank_fusion,10,2,322.0,0.9279538904899136,2021.9202284635976,3.4604738079942763,0
rank_fusion,20,3,323.0,0.930835734870317,2021.9202284635976,3.4604738079942763,0
rank_fusion,24,3,317.0,0.9135446685878964,2021.9202284635976,3.4604738079942763,0
rank_fusion,50,5,325.0,0.936599423631124,2021.9202284635976,3.4604738079942763,0
video_text,5,1,316.0,0.9106628242074928,1642.9902693335898,2.6426479131914675,0
video_text,10,2,322.0,0.9279538904899136,1642.9902693335898,2.6426479131914675,0
video_text,20,2,322.0,0.9279538904899136,1642.9902693335898,2.6426479131914675,0
video_text,24,2,316.0,0.9106628242074928,1642.9902693335898,2.6426479131914675,0
video_text,50,4,324.0,0.9337175792507204,1642.9902693335898,2.6426479131914675,0
