effective_sensitivity,effective_specificity,unknown_rate,cost_assumption,fixed_fraction,all_placements_pass,worst_event_recall,worst_dense_ratio,worst_false_pruned_event_multiplicity
0.85,0.9,0.2,registered_constant_optimistic,1.0,False,0.0,0.5569164265129684,26
0.85,0.9,0.2,registered_grid_0.95,0.95,False,0.0,0.8644812680115275,26
0.85,0.95,0.0,registered_constant_optimistic,1.0,False,0.0,0.4877521613832853,26
0.85,0.95,0.0,registered_grid_0.95,0.95,False,0.0,0.7878242074927956,26
0.85,0.95,0.05,registered_constant_optimistic,1.0,False,0.0,0.4992795389048991,26
0.85,0.95,0.05,registered_grid_0.95,0.95,False,0.0,0.79978386167147,26
0.85,0.95,0.1,registered_constant_optimistic,1.0,False,0.0,0.5165706051873199,26
0.85,0.95,0.1,registered_grid_0.95,0.95,False,0.0,0.8185158501440924,26
0.85,0.95,0.2,registered_constant_optimistic,1.0,False,0.0,0.5569164265129684,26
0.85,0.95,0.2,registered_grid_0.95,0.95,False,0.0,0.8644812680115275,26
0.85,0.975,0.0,registered_constant_optimistic,1.0,False,0.0,0.4819884726224784,26
0.85,0.975,0.0,registered_grid_0.95,0.95,False,0.0,0.7820605187319887,26
0.85,0.975,0.05,registered_constant_optimistic,1.0,False,0.0,0.4935158501440922,26
0.85,0.975,0.05,registered_grid_0.95,0.95,False,0.0,0.7935878962536025,26
0.85,0.975,0.1,registered_constant_optimistic,1.0,False,0.0,0.5050432276657061,26
0.85,0.975,0.1,registered_grid_0.95,0.95,False,0.0,0.8056916426512971,26
0.85,0.975,0.2,registered_constant_optimistic,1.0,False,0.0,0.5511527377521613,26
0.85,0.975,0.2,registered_grid_0.95,0.95,False,0.0,0.857420749279539,26
0.85,0.99,0.0,registered_constant_optimistic,1.0,False,0.0,0.4762247838616715,26
0.85,0.99,0.0,registered_grid_0.95,0.95,False,0.0,0.7761527377521615,26
0.85,0.99,0.05,registered_constant_optimistic,1.0,False,0.0,0.4877521613832853,26
0.85,0.99,0.05,registered_grid_0.95,0.95,False,0.0,0.7878242074927956,26
0.85,0.99,0.1,registered_constant_optimistic,1.0,False,0.0,0.4992795389048991,26
0.85,0.99,0.1,registered_grid_0.95,0.95,False,0.0,0.79978386167147,26
0.85,0.99,0.2,registered_constant_optimistic,1.0,False,0.0,0.5511527377521613,26
0.85,0.99,0.2,registered_grid_0.95,0.95,False,0.0,0.857420749279539,26
0.85,1.0,0.0,registered_constant_optimistic,1.0,False,0.0,0.4762247838616715,26
0.85,1.0,0.0,registered_grid_0.95,0.95,False,0.0,0.7761527377521615,26
0.85,1.0,0.05,registered_constant_optimistic,1.0,False,0.0,0.4877521613832853,26
0.85,1.0,0.05,registered_grid_0.95,0.95,False,0.0,0.7878242074927956,26
0.85,1.0,0.1,registered_constant_optimistic,1.0,False,0.0,0.4992795389048991,26
0.85,1.0,0.1,registered_grid_0.95,0.95,False,0.0,0.79978386167147,26
0.85,1.0,0.2,registered_constant_optimistic,1.0,False,0.0,0.5453890489913544,26
0.85,1.0,0.2,registered_grid_0.95,0.95,False,0.0,0.8505043227665707,26
0.9,0.8,0.0,registered_constant_optimistic,1.0,False,0.0,0.6837175792507204,26
0.9,0.8,0.0,registered_grid_0.95,0.95,False,0.0,0.997766570605188,26
0.9,0.8,0.05,registered_constant_optimistic,1.0,False,0.0,0.6952449567723343,26
0.9,0.8,0.05,registered_grid_0.95,0.95,False,0.0,1.0117435158501447,26
0.9,0.8,0.1,registered_constant_optimistic,1.0,False,0.0,0.7010086455331412,26
0.9,0.8,0.1,registered_grid_0.95,0.95,False,0.0,1.0175072046109517,26
0.9,0.8,0.2,registered_constant_optimistic,1.0,False,0.0,0.7067723342939481,26
0.9,0.8,0.2,registered_grid_0.95,0.95,False,0.0,1.023703170028819,26
0.9,0.9,0.0,registered_constant_optimistic,1.0,False,0.0,0.6087896253602305,26
0.9,0.9,0.0,registered_grid_0.95,0.95,False,0.0,0.9172190201729109,26
0.9,0.9,0.05,registered_constant_optimistic,1.0,False,0.0,0.6376080691642652,26
0.9,0.9,0.05,registered_grid_0.95,0.95,False,0.0,0.9467579250720467,26
0.9,0.9,0.1,registered_constant_optimistic,1.0,False,0.0,0.6779538904899135,26
0.9,0.9,0.1,registered_grid_0.95,0.95,False,0.0,0.9907060518731995,26
0.9,0.9,0.2,registered_constant_optimistic,1.0,False,0.0,0.7010086455331412,26
0.9,0.9,0.2,registered_grid_0.95,0.95,False,0.0,1.0175072046109517,26
0.9,0.95,0.0,registered_constant_optimistic,1.0,False,0.0,0.5972622478386167,26
0.9,0.95,0.0,registered_grid_0.95,0.95,False,0.0,0.9055475504322771,26
0.9,0.95,0.05,registered_constant_optimistic,1.0,False,0.0,0.6087896253602305,26
0.9,0.95,0.05,registered_grid_0.95,0.95,False,0.0,0.9172190201729109,26
0.9,0.95,0.1,registered_constant_optimistic,1.0,False,0.0,0.6376080691642652,26
0.9,0.95,0.1,registered_grid_0.95,0.95,False,0.0,0.9467579250720467,26
0.9,0.95,0.2,registered_constant_optimistic,1.0,False,0.0,0.6952449567723343,26
0.9,0.95,0.2,registered_grid_0.95,0.95,False,0.0,1.0117435158501447,26
0.9,0.975,0.0,registered_constant_optimistic,1.0,False,0.0,0.579971181556196,26
0.9,0.975,0.0,registered_grid_0.95,0.95,False,0.0,0.8881123919308359,26
0.9,0.975,0.05,registered_constant_optimistic,1.0,False,0.0,0.6030259365994236,26
0.9,0.975,0.05,registered_grid_0.95,0.95,False,0.0,0.911455331412104,26
0.9,0.975,0.1,registered_constant_optimistic,1.0,False,0.0,0.6260806916426513,26
0.9,0.975,0.1,registered_grid_0.95,0.95,False,0.0,0.9350864553314125,26
0.9,0.975,0.2,registered_constant_optimistic,1.0,False,0.0,0.6894812680115274,26
0.9,0.975,0.2,registered_grid_0.95,0.95,False,0.0,1.0046829971181563,26
0.9,0.99,0.0,registered_constant_optimistic,1.0,False,0.0,0.5684438040345822,26
0.9,0.99,0.0,registered_grid_0.95,0.95,False,0.0,0.8764409221902019,26
0.9,0.99,0.05,registered_constant_optimistic,1.0,False,0.0,0.5972622478386167,26
0.9,0.99,0.05,registered_grid_0.95,0.95,False,0.0,0.9055475504322771,26
0.9,0.99,0.1,registered_constant_optimistic,1.0,False,0.0,0.6087896253602305,26
0.9,0.99,0.1,registered_grid_0.95,0.95,False,0.0,0.9172190201729109,26
0.9,0.99,0.2,registered_constant_optimistic,1.0,False,0.0,0.6837175792507204,26
0.9,0.99,0.2,registered_grid_0.95,0.95,False,0.0,0.997766570605188,26
0.9,1.0,0.0,registered_constant_optimistic,1.0,False,0.0,0.5626801152737753,26
0.9,1.0,0.0,registered_grid_0.95,0.95,False,0.0,0.8701008645533145,26
0.9,1.0,0.05,registered_constant_optimistic,1.0,False,0.0,0.5972622478386167,26
0.9,1.0,0.05,registered_grid_0.95,0.95,False,0.0,0.9055475504322771,26
0.9,1.0,0.1,registered_constant_optimistic,1.0,False,0.0,0.6087896253602305,26
0.9,1.0,0.1,registered_grid_0.95,0.95,False,0.0,0.9172190201729109,26
0.9,1.0,0.2,registered_constant_optimistic,1.0,False,0.0,0.6837175792507204,26
0.9,1.0,0.2,registered_grid_0.95,0.95,False,0.0,0.997766570605188,26
0.925,0.8,0.0,registered_constant_optimistic,1.0,False,0.0,0.6721902017291066,26
0.925,0.8,0.0,registered_grid_0.95,0.95,False,0.0,0.9849423631123925,26
0.925,0.8,0.05,registered_constant_optimistic,1.0,False,0.0,0.6837175792507204,26
0.925,0.8,0.05,registered_grid_0.95,0.95,False,0.0,0.9989193083573493,26
0.925,0.8,0.1,registered_constant_optimistic,1.0,False,0.0,0.6894812680115274,26
0.925,0.8,0.1,registered_grid_0.95,0.95,False,0.0,1.0059798270893379,26
0.925,0.8,0.2,registered_constant_optimistic,1.0,False,0.0,0.7067723342939481,26
0.925,0.8,0.2,registered_grid_0.95,0.95,False,0.0,1.0316282420749288,26
0.925,0.9,0.0,registered_constant_optimistic,1.0,False,0.0,0.6087896253602305,26
0.925,0.9,0.0,registered_grid_0.95,0.95,False,0.0,0.9300432276657062,26
0.925,0.9,0.05,registered_constant_optimistic,1.0,False,0.0,0.6376080691642652,26
0.925,0.9,0.05,registered_grid_0.95,0.95,False,0.0,0.9467579250720467,26
0.925,0.9,0.1,registered_constant_optimistic,1.0,False,0.0,0.6721902017291066,26
0.925,0.9,0.1,registered_grid_0.95,0.95,False,0.0,0.9849423631123925,26
0.925,0.9,0.2,registered_constant_optimistic,1.0,False,0.0,0.6894812680115274,26
0.925,0.9,0.2,registered_grid_0.95,0.95,False,0.0,1.0059798270893379,26
0.925,0.95,0.0,registered_constant_optimistic,1.0,False,0.0,0.5972622478386167,26
0.925,0.95,0.0,registered_grid_0.95,0.95,False,0.0,0.911455331412104,26
0.925,0.95,0.05,registered_constant_optimistic,1.0,False,0.0,0.6087896253602305,26
0.925,0.95,0.05,registered_grid_0.95,0.95,False,0.0,0.9300432276657062,26
0.925,0.95,0.1,registered_constant_optimistic,1.0,False,0.0,0.6376080691642652,26
0.925,0.95,0.1,registered_grid_0.95,0.95,False,0.0,0.9467579250720467,26
0.925,0.95,0.2,registered_constant_optimistic,1.0,False,0.0,0.6837175792507204,26
0.925,0.95,0.2,registered_grid_0.95,0.95,False,0.0,0.9989193083573493,26
0.925,0.975,0.0,registered_constant_optimistic,1.0,False,0.0,0.579971181556196,26
0.925,0.975,0.0,registered_grid_0.95,0.95,False,0.0,0.8935878962536026,26
0.925,0.975,0.05,registered_constant_optimistic,1.0,False,0.0,0.5972622478386167,26
0.925,0.975,0.05,registered_grid_0.95,0.95,False,0.0,0.9172190201729111,26
0.925,0.975,0.1,registered_constant_optimistic,1.0,False,0.0,0.6260806916426513,26
0.925,0.975,0.1,registered_grid_0.95,0.95,False,0.0,0.9350864553314125,26
0.925,0.975,0.2,registered_constant_optimistic,1.0,False,0.0,0.6779538904899135,26
0.925,0.975,0.2,registered_grid_0.95,0.95,False,0.0,0.9920028818443811,26
0.925,0.99,0.0,registered_constant_optimistic,1.0,False,0.0,0.5742074927953891,26
0.925,0.99,0.0,registered_grid_0.95,0.95,False,0.0,0.8935878962536026,26
0.925,0.99,0.05,registered_constant_optimistic,1.0,False,0.0,0.5972622478386167,26
0.925,0.99,0.05,registered_grid_0.95,0.95,False,0.0,0.911455331412104,26
0.925,0.99,0.1,registered_constant_optimistic,1.0,False,0.0,0.6087896253602305,26
0.925,0.99,0.1,registered_grid_0.95,0.95,False,0.0,0.9300432276657062,26
0.925,0.99,0.2,registered_constant_optimistic,1.0,False,0.0,0.6779538904899135,26
0.925,0.99,0.2,registered_grid_0.95,0.95,False,0.0,0.9920028818443811,26
0.925,1.0,0.0,registered_constant_optimistic,1.0,False,0.0,0.5713256484149856,26
0.925,1.0,0.0,registered_grid_0.95,0.95,False,0.0,0.8930115273775217,26
0.925,1.0,0.05,registered_constant_optimistic,1.0,False,0.0,0.5972622478386167,26
0.925,1.0,0.05,registered_grid_0.95,0.95,False,0.0,0.911455331412104,26
0.925,1.0,0.1,registered_constant_optimistic,1.0,False,0.0,0.6087896253602305,26
0.925,1.0,0.1,registered_grid_0.95,0.95,False,0.0,0.9300432276657062,26
0.925,1.0,0.2,registered_constant_optimistic,1.0,False,0.0,0.6721902017291066,26
0.925,1.0,0.2,registered_grid_0.95,0.95,False,0.0,0.9849423631123925,26
0.95,0.8,0.0,registered_constant_optimistic,1.0,False,0.0,0.7240634005763689,26
0.95,0.8,0.0,registered_grid_0.95,0.95,False,0.0,1.0646253602305482,26
0.95,0.8,0.05,registered_constant_optimistic,1.0,False,0.0,0.75,26
0.95,0.8,0.05,registered_grid_0.95,0.95,False,0.0,1.0882564841498568,26
0.95,0.8,0.1,registered_constant_optimistic,1.0,False,0.0,0.7615273775216138,26
0.95,0.8,0.1,registered_grid_0.95,0.95,False,0.0,1.0943083573487045,26
0.95,0.8,0.2,registered_constant_optimistic,1.0,False,0.0,0.8162824207492796,26
0.95,0.8,0.2,registered_grid_0.95,0.95,False,0.0,1.1607348703170044,26
0.95,0.9,0.0,registered_constant_optimistic,1.0,False,0.0,0.6606628242074928,26
0.95,0.9,0.0,registered_grid_0.95,0.95,False,0.0,0.9876801152737754,26
0.95,0.9,0.05,registered_constant_optimistic,1.0,False,0.0,0.6837175792507204,26
0.95,0.9,0.05,registered_grid_0.95,0.95,False,0.0,1.012175792507205,26
0.95,0.9,0.1,registered_constant_optimistic,1.0,False,0.0,0.7211815561959655,26
0.95,0.9,0.1,registered_grid_0.95,0.95,False,0.0,1.0528097982708944,26
0.95,0.9,0.2,registered_constant_optimistic,1.0,False,0.0,0.7615273775216138,26
0.95,0.9,0.2,registered_grid_0.95,0.95,False,0.0,1.0943083573487045,26
0.95,0.95,0.0,registered_constant_optimistic,1.0,False,0.0,0.649135446685879,26
0.95,0.95,0.0,registered_grid_0.95,0.95,False,0.0,0.9742795389048994,26
0.95,0.95,0.05,registered_constant_optimistic,1.0,False,0.0,0.6606628242074928,26
0.95,0.95,0.05,registered_grid_0.95,0.95,False,0.0,0.9876801152737754,26
0.95,0.95,0.1,registered_constant_optimistic,1.0,False,0.0,0.6837175792507204,26
0.95,0.95,0.1,registered_grid_0.95,0.95,False,0.0,1.012175792507205,26
0.95,0.95,0.2,registered_constant_optimistic,1.0,False,0.0,0.75,26
0.95,0.95,0.2,registered_grid_0.95,0.95,False,0.0,1.0882564841498568,26
0.95,0.975,0.0,registered_constant_optimistic,1.0,False,0.0,0.6404899135446686,26
0.95,0.975,0.0,registered_grid_0.95,0.95,False,0.0,0.9680835734870323,26
0.95,0.975,0.05,registered_constant_optimistic,1.0,False,0.0,0.649135446685879,26
0.95,0.975,0.05,registered_grid_0.95,0.95,False,0.0,0.9755763688760811,26
0.95,0.975,0.1,registered_constant_optimistic,1.0,False,0.0,0.6779538904899135,26
0.95,0.975,0.1,registered_grid_0.95,0.95,False,0.0,1.006412103746398,26
0.95,0.975,0.2,registered_constant_optimistic,1.0,False,0.0,0.7327089337175793,26
0.95,0.975,0.2,registered_grid_0.95,0.95,False,0.0,1.0708213256484158,26
0.95,0.99,0.0,registered_constant_optimistic,1.0,False,0.0,0.6347262247838616,26
0.95,0.99,0.0,registered_grid_0.95,0.95,False,0.0,0.9617435158501446,26
0.95,0.99,0.05,registered_constant_optimistic,1.0,False,0.0,0.649135446685879,26
0.95,0.99,0.05,registered_grid_0.95,0.95,False,0.0,0.9755763688760811,26
0.95,0.99,0.1,registered_constant_optimistic,1.0,False,0.0,0.6721902017291066,26
0.95,0.99,0.1,registered_grid_0.95,0.95,False,0.0,1.0005043227665709,26
0.95,0.99,0.2,registered_constant_optimistic,1.0,False,0.0,0.7327089337175793,26
0.95,0.99,0.2,registered_grid_0.95,0.95,False,0.0,1.064913544668589,26
0.95,1.0,0.0,registered_constant_optimistic,1.0,False,0.0,0.6289625360230547,26
0.95,1.0,0.0,registered_grid_0.95,0.95,False,0.0,0.9551152737752163,26
0.95,1.0,0.05,registered_constant_optimistic,1.0,False,0.0,0.649135446685879,26
0.95,1.0,0.05,registered_grid_0.95,0.95,False,0.0,0.9742795389048994,26
0.95,1.0,0.1,registered_constant_optimistic,1.0,False,0.0,0.6606628242074928,26
0.95,1.0,0.1,registered_grid_0.95,0.95,False,0.0,0.9876801152737754,26
0.95,1.0,0.2,registered_constant_optimistic,1.0,False,0.0,0.7240634005763689,26
0.95,1.0,0.2,registered_grid_0.95,0.95,False,0.0,1.0646253602305482,26
0.975,0.8,0.0,registered_constant_optimistic,1.0,False,0.0,0.7384726224783862,26
0.975,0.8,0.0,registered_grid_0.95,0.95,False,0.0,1.070965417867436,26
0.975,0.8,0.05,registered_constant_optimistic,1.0,False,0.0,0.7557636887608069,26
0.975,0.8,0.05,registered_grid_0.95,0.95,False,0.0,1.0885446685878974,26
0.975,0.8,0.1,registered_constant_optimistic,1.0,False,0.0,0.7845821325648416,26
0.975,0.8,0.1,registered_grid_0.95,0.95,False,0.0,1.1277377521613845,26
0.975,0.8,0.2,registered_constant_optimistic,1.0,False,0.0,0.819164265129683,26
0.975,0.8,0.2,registered_grid_0.95,0.95,False,0.0,1.1666426512968313,26
0.975,0.9,0.0,registered_constant_optimistic,1.0,False,0.0,0.7038904899135446,26
0.975,0.9,0.0,registered_grid_0.95,0.95,False,0.0,1.0340778097982712,26
0.975,0.9,0.05,registered_constant_optimistic,1.0,False,0.0,0.7154178674351584,26
0.975,0.9,0.05,registered_grid_0.95,0.95,False,0.0,1.0469020172910668,26
