method,budget,precision_target,iou_threshold,mean_event_recall,std_event_recall,mean_precision,mean_expected_precision,mean_returned_interval_count,mean_duration_inflation,mean_duplicate_rate
fixed_window_topk,80,0.8,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,80,0.8,0.5,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,80,0.9,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,80,0.9,0.5,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,160,0.8,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,160,0.8,0.5,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,160,0.9,0.3,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
fixed_window_topk,160,0.9,0.5,0.0,0.0,0.0,,1.0,0.08051529790660218,0.0
lattice_oracle_upper_bound,20,0.8,0.3,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,20,0.8,0.5,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,20,0.9,0.3,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,20,0.9,0.5,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,40,0.8,0.3,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,40,0.8,0.5,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,40,0.9,0.3,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,40,0.9,0.5,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,80,0.8,0.3,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,80,0.8,0.5,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,80,0.9,0.3,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,80,0.9,0.5,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,160,0.8,0.3,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,160,0.8,0.5,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,160,0.9,0.3,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
lattice_oracle_upper_bound,160,0.9,0.5,1.0,0.0,1.0,,6.0,0.9017713365539444,0.0
oracle_confirmed_only,20,0.8,0.3,0.0,0.0,,,0.0,0.0,0.0
oracle_confirmed_only,20,0.8,0.5,0.0,0.0,,,0.0,0.0,0.0
oracle_confirmed_only,20,0.9,0.3,0.0,0.0,,,0.0,0.0,0.0
oracle_confirmed_only,20,0.9,0.5,0.0,0.0,,,0.0,0.0,0.0
oracle_confirmed_only,40,0.8,0.3,0.16666666666666663,0.0,1.0,,2.0,1.4953271028037398,0.5
oracle_confirmed_only,40,0.8,0.5,0.16666666666666663,0.0,1.0,,2.0,1.4953271028037398,0.0
oracle_confirmed_only,40,0.9,0.3,0.16666666666666663,0.0,1.0,,2.0,1.4953271028037398,0.5
oracle_confirmed_only,40,0.9,0.5,0.16666666666666663,0.0,1.0,,2.0,1.4953271028037398,0.0
oracle_confirmed_only,80,0.8,0.3,0.16666666666666663,0.0,1.0,,8.0,9.158878504672908,0.875
oracle_confirmed_only,80,0.8,0.5,0.16666666666666663,0.0,1.0,,8.0,9.158878504672908,0.25
oracle_confirmed_only,80,0.9,0.3,0.16666666666666663,0.0,1.0,,8.0,9.158878504672908,0.875
oracle_confirmed_only,80,0.9,0.5,0.16666666666666663,0.0,1.0,,8.0,9.158878504672908,0.25
oracle_confirmed_only,160,0.8,0.3,0.33333333333333326,0.0,1.0,,17.0,4.9185667752442965,0.8823529411764706
oracle_confirmed_only,160,0.8,0.5,0.16666666666666663,0.0,1.0,,17.0,28.224299065420592,0.17647058823529413
oracle_confirmed_only,160,0.9,0.3,0.33333333333333326,0.0,1.0,,17.0,4.9185667752442965,0.8823529411764706
oracle_confirmed_only,160,0.9,0.5,0.16666666666666663,0.0,1.0,,17.0,28.224299065420592,0.17647058823529413
threshold_merge,20,0.8,0.3,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,20,0.8,0.5,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,20,0.9,0.3,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,20,0.9,0.5,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,40,0.8,0.3,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,40,0.8,0.5,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,40,0.9,0.3,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,40,0.9,0.5,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,80,0.8,0.3,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,80,0.8,0.5,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,80,0.9,0.3,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,80,0.9,0.5,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,160,0.8,0.3,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,160,0.8,0.5,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,160,0.9,0.3,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
threshold_merge,160,0.9,0.5,0.0,0.0,0.0,,1.0,0.016103059581320436,0.0
