replicate,metric,median,mean
0,delta_F1,0.0,0.004048550927220208
0,delta_EventRecall,0.0,0.004545454545454542
0,delta_AnytimeAUC,0.011597576643579549,0.007131964073391274
1,delta_F1,0.0069023569023569,0.005218749646438541
1,delta_EventRecall,0.00609756097560975,0.005064395905080901
1,delta_AnytimeAUC,0.010537877260575562,0.0031865803941605875
2,delta_F1,-0.00326530612244895,-0.007951180472188851
2,delta_EventRecall,0.0,-0.0070921985815602835
2,delta_AnytimeAUC,-0.0019037036511618532,-0.0032427577765762557
3,delta_F1,0.0,8.176334506868344e-05
3,delta_EventRecall,0.0,0.0005189413596263584
3,delta_AnytimeAUC,0.010537877260575562,0.003151766199435061
4,delta_F1,0.0069023569023569,0.011486322862709035
4,delta_EventRecall,0.00609756097560975,0.011123429416112334
4,delta_AnytimeAUC,0.011597576643579549,0.008042030554988344
5,delta_F1,0.0069023569023569,0.00865012219545814
5,delta_EventRecall,0.00609756097560975,0.008610495195861042
5,delta_AnytimeAUC,0.010537877260575562,0.0067787309457232785
6,delta_F1,0.0,0.0063493365613391745
6,delta_EventRecall,0.0,0.006577974870657792
6,delta_AnytimeAUC,0.005286363539346306,0.004851609808146196
7,delta_F1,0.0,-0.0022190222890502835
7,delta_EventRecall,0.0,-0.0015135789655768917
7,delta_AnytimeAUC,0.005286363539346306,0.0001727762111524376
8,delta_F1,-0.0065306122448979,-0.0015596923700986916
8,delta_EventRecall,0.0,0.0009993552546744
8,delta_AnytimeAUC,-0.009093770841670012,-0.0033573023065879373
9,delta_F1,0.0,0.009185537228590066
9,delta_EventRecall,0.0,0.009090909090909084
9,delta_AnytimeAUC,0.005286363539346306,0.005063040566705719
10,delta_F1,-0.01355942376950775,-0.01138255302120845
10,delta_EventRecall,-0.010638297872340425,-0.010638297872340425
10,delta_AnytimeAUC,-0.012680155305849927,-0.007886777178844487
11,delta_F1,-0.0065306122448979,-0.006696678671468549
11,delta_EventRecall,0.0,-0.0035460992907801418
11,delta_AnytimeAUC,-0.009093770841670012,-0.005495854202724544
12,delta_F1,-0.00326530612244895,-0.002814194170818992
12,delta_EventRecall,0.0,-0.0025467440361057418
12,delta_AnytimeAUC,-0.0019037036511618532,-0.002156074731145189
13,delta_F1,0.0,0.0029601155530705587
13,delta_EventRecall,0.0,0.004545454545454542
13,delta_AnytimeAUC,0.008441970091462928,0.003683406159183014
14,delta_F1,0.0,8.17633450686833e-05
14,delta_EventRecall,0.0,0.0005189413596263584
14,delta_AnytimeAUC,0.007912120399960934,0.002099897348729521
15,delta_F1,-0.00326530612244895,0.0018295286381699246
15,delta_EventRecall,0.0,0.0030318755798776505
15,delta_AnytimeAUC,0.0007220532094527748,-8.536095621367497e-05
16,delta_F1,-0.0065306122448979,-0.0090396158463385
16,delta_EventRecall,0.0,-0.0070921985815602835
16,delta_AnytimeAUC,-0.009093770841670012,-0.006691315690784516
17,delta_F1,0.0069023569023569,0.009738557569607792
17,delta_EventRecall,0.00609756097560975,0.008610495195861042
17,delta_AnytimeAUC,0.011067726952077556,0.010227288859931538
18,delta_F1,-0.0065306122448979,-0.004991064919118292
18,delta_EventRecall,0.0,-0.0025467440361057418
18,delta_AnytimeAUC,-0.009093770841670012,-0.008001321708856169
19,delta_F1,0.0,0.009185537228590066
19,delta_EventRecall,0.0,0.009090909090909084
19,delta_AnytimeAUC,0.008441970091462928,0.00611490941741126
20,delta_F1,0.0,-0.0022190222890502835
20,delta_EventRecall,0.0,-0.0015135789655768917
20,delta_AnytimeAUC,0.007912120399960934,0.0022765139125635186
21,delta_F1,-0.0065306122448979,-0.006696678671468549
21,delta_EventRecall,0.0,-0.0035460992907801418
21,delta_AnytimeAUC,-0.009093770841670012,-0.004443985352019004
22,delta_F1,-0.00326530612244895,-0.002814194170818992
22,delta_EventRecall,0.0,-0.0025467440361057418
