target,group_type,group_value,n,positives,prevalence,brier,log_loss,ece,maximum_calibration_error,auroc,average_precision,spearman,positives_at_5,precision_at_5,positives_at_10,precision_at_10,positives_at_20,precision_at_20,positives_at_50,precision_at_50,positives_at_100,precision_at_100,top5_regret,top10_regret,top20_regret,top50_regret,top100_regret
actual_positive,hypothesis_source,cell_0049,100,0,0.0,0.12289434961344618,0.4316492973420165,0.3505629039322988,0.3505629039322988,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0
actual_positive,hypothesis_source,cell_0053,100,0,0.0,0.09090114939968745,0.3588174872415195,0.3014981747866601,0.3014981747866601,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0
actual_positive,hypothesis_source,cell_0055,100,0,0.0,0.13376608193850067,0.4552970346104103,0.3657404570709957,0.3657404570709957,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0
actual_positive,hypothesis_source,cell_0056,100,0,0.0,0.10481203085364287,0.3911878089904704,0.32374686230702354,0.32374686230702354,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0
actual_positive,hypothesis_source,cell_0057,100,0,0.0,0.11908175515246391,0.4232456146522082,0.3450822440411326,0.3450822440411326,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0
actual_positive,hypothesis_source,high_proxy_island,1956,373,0.19069529652351738,0.20996319360065654,0.6107988135722481,0.2082446221718758,0.3942460938310966,0.3525054237466107,0.18947617562619945,-0.2007869891707891,0,0.0,4,0.4,12,0.6,12,0.24,21,0.21,5,6,8,38,79
actual_positive,hypothesis_source,orphan_local_peak,2651,203,0.07657487740475293,0.12194624583497349,0.41838814582458045,0.23059465411171756,0.9039401432982423,0.7566566856627709,0.21175415707015877,0.23650212721619418,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,10,20,50,100
actual_positive,proxy_percentile_bin,"(-0.001, 0.1]",100,13,0.13,0.13869448603703663,0.49132227155824076,0.28558753696163064,0.9039401432982423,0.0,0.13,-1.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.13,5,10,13,13,0
actual_positive,proxy_percentile_bin,"(0.1, 0.2]",360,0,0.0,0.04531335216212177,0.23836363078104775,0.2118153642424842,0.21704037689465,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0
actual_positive,proxy_percentile_bin,"(0.2, 0.3]",468,0,0.0,0.06365679368750404,0.2882968904975201,0.24963509989633814,0.26149938848993326,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0
