method,budget,selection_rank,unit_id,proxy_score
pstr_5_to_4,80,44,96,0.5743454831484714
pstr_5_to_4,80,45,55,0.5742216223379267
pstr_5_to_4,80,46,35,0.5710048458851692
pstr_5_to_4,80,47,342,0.5530783112285766
pstr_5_to_4,80,48,215,0.5515135861739686
pstr_5_to_4,80,49,52,0.5496507770903432
pstr_5_to_4,80,50,15,0.530912920909698
pstr_5_to_4,80,51,264,0.5250744047022463
pstr_5_to_4,80,52,63,0.5212475051459906
pstr_5_to_4,80,53,317,0.5191186604527276
pstr_5_to_4,80,54,159,0.5134335642768014
pstr_5_to_4,80,55,67,0.5094062841904405
pstr_5_to_4,80,56,90,0.5033427962114588
pstr_5_to_4,80,57,344,0.5023935252408356
pstr_5_to_4,80,58,177,0.4961764067218399
pstr_5_to_4,80,59,33,0.4951878882281705
pstr_5_to_4,80,60,288,0.4902382657737715
pstr_5_to_4,80,61,276,0.4858861486924493
pstr_5_to_4,80,62,141,0.4798088943427007
pstr_5_to_4,80,63,302,0.4792818859234803
pstr_5_to_4,80,64,135,0.4735517563545031
pstr_5_to_4,80,65,142,0.4676664777741083
pstr_5_to_4,80,66,283,0.4625110307419411
pstr_5_to_4,80,67,300,0.4618420195731534
pstr_5_to_4,80,68,51,0.4576929778313021
pstr_5_to_4,80,69,133,0.4512206541260518
pstr_5_to_4,80,70,175,0.4503323426781558
pstr_5_to_4,80,71,223,0.4454556473936631
pstr_5_to_4,80,72,98,0.4441899500526543
pstr_5_to_4,80,73,200,0.4394917906743257
pstr_5_to_4,80,74,195,0.4381614588232884
pstr_5_to_4,80,75,30,0.4296656456401627
pstr_5_to_4,80,76,203,0.4239318205604984
pstr_5_to_4,80,77,328,0.421827826493355
pstr_5_to_4,80,78,20,0.418091778052209
pstr_5_to_4,80,79,188,0.4178416343556031
pstr_5_to_4,80,80,260,0.3970933961888701
pstr_5_to_4,100,1,206,1.0
pstr_5_to_4,100,2,147,0.925233090281702
pstr_5_to_4,100,3,257,0.8977153935850036
pstr_5_to_4,100,4,72,0.8832588228837135
pstr_5_to_4,100,5,320,0.8764063027879948
pstr_5_to_4,100,6,4,0.8515044126921649
pstr_5_to_4,100,7,251,0.8420860938872126
pstr_5_to_4,100,8,158,0.8346579130423584
pstr_5_to_4,100,9,247,0.7925283851872815
pstr_5_to_4,100,10,322,0.7581504844273542
pstr_5_to_4,100,11,171,0.7519247066604343
pstr_5_to_4,100,12,236,0.7518636822915334
pstr_5_to_4,100,13,244,0.7320465855392532
pstr_5_to_4,100,14,24,0.7227676375550663
pstr_5_to_4,100,15,336,0.7068225503259155
pstr_5_to_4,100,16,152,0.6912579641610177
pstr_5_to_4,100,17,209,0.6889057717494741
pstr_5_to_4,100,18,219,0.6853278301009221
pstr_5_to_4,100,19,214,0.6848964827311995
pstr_5_to_4,100,20,182,0.6645583012625847
pstr_5_to_4,100,21,123,0.6620575147238718
pstr_5_to_4,100,22,71,0.6617590510687522
pstr_5_to_4,100,23,168,0.6599969286861233
pstr_5_to_4,100,24,230,0.6581772164390797
pstr_5_to_4,100,25,212,0.6534678183473466
pstr_5_to_4,100,26,329,0.634121747266852
pstr_5_to_4,100,27,165,0.6339983113714996
pstr_5_to_4,100,28,11,0.627852727001035
pstr_5_to_4,100,29,234,0.626583523790338
pstr_5_to_4,100,30,280,0.62615448184184
pstr_5_to_4,100,31,339,0.6204138183827314
pstr_5_to_4,100,32,333,0.6194731949323831
pstr_5_to_4,100,33,267,0.6158538890142571
pstr_5_to_4,100,34,238,0.608720967696707
pstr_5_to_4,100,35,305,0.6077814616019719
pstr_5_to_4,100,36,252,0.6059540989488593
pstr_5_to_4,100,37,228,0.603626233840628
pstr_5_to_4,100,38,17,0.597436930903159
pstr_5_to_4,100,39,121,0.5973715550765036
pstr_5_to_4,100,40,297,0.5836632165919552
pstr_5_to_4,100,41,151,0.5834332497984558
pstr_5_to_4,100,42,271,0.5780860586840129
pstr_5_to_4,100,43,292,0.575902880062269
pstr_5_to_4,100,44,83,0.5752679858383861
pstr_5_to_4,100,45,61,0.5750501688477344
pstr_5_to_4,100,46,96,0.5743454831484714
pstr_5_to_4,100,47,55,0.5742216223379267
pstr_5_to_4,100,48,35,0.5710048458851692
pstr_5_to_4,100,49,172,0.5543394821303932
