run_id,selector,seed,budget,legal_partition_count_before,legal_partition_count_after,ceiling_f1_before,ceiling_f1_after,ceiling_partition_equal,public_f1_before,public_f1_after,public_partition_equal,positive_contains_345_346,new_ceiling_partition_invariants_pass,new_public_partition_invariants_pass,complete_equivalence_pass
controlled_track_B6_ABae_adapted_diagnostic_abae_stratified_controlled_s004_b10,ABAE_CONTROLLED,4,10,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B6_ABae_adapted_diagnostic_abae_stratified_controlled_s004_b20,ABAE_CONTROLLED,4,20,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B6_ABae_adapted_diagnostic_abae_stratified_controlled_s004_b50,ABAE_CONTROLLED,4,50,1,1,0.2666666666666667,0.26666666666666666,True,0.2666666666666667,0.2666666666666667,True,False,True,True,True
controlled_track_B6_ABae_adapted_diagnostic_abae_stratified_controlled_s004_b80,ABAE_CONTROLLED,4,80,2,2,0.4705882352941176,0.47058823529411764,True,0.4705882352941176,0.47058823529411764,True,False,True,True,True
controlled_track_B6_ABae_adapted_diagnostic_abae_stratified_controlled_s004_b100,ABAE_CONTROLLED,4,100,8,8,0.5405405405405405,0.5405405405405406,True,0.5,0.5,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s000_b5,ARC_CONTROLLED,0,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s000_b10,ARC_CONTROLLED,0,10,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s000_b20,ARC_CONTROLLED,0,20,1,1,0.2068965517241379,0.20689655172413793,True,0.2068965517241379,0.20689655172413793,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s000_b50,ARC_CONTROLLED,0,50,1,1,0.3225806451612903,0.3225806451612903,True,0.3225806451612903,0.32258064516129037,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s000_b80,ARC_CONTROLLED,0,80,2,2,0.375,0.375,True,0.375,0.375,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s000_b100,ARC_CONTROLLED,0,100,2,2,0.375,0.375,True,0.375,0.375,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s001_b5,ARC_CONTROLLED,1,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s001_b10,ARC_CONTROLLED,1,10,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s001_b20,ARC_CONTROLLED,1,20,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s001_b50,ARC_CONTROLLED,1,50,1,1,0.2666666666666667,0.26666666666666666,True,0.2666666666666667,0.2666666666666667,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s001_b80,ARC_CONTROLLED,1,80,2,2,0.375,0.375,True,0.375,0.375,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s001_b100,ARC_CONTROLLED,1,100,2,2,0.4705882352941176,0.47058823529411764,True,0.4705882352941176,0.47058823529411764,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s002_b5,ARC_CONTROLLED,2,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s002_b10,ARC_CONTROLLED,2,10,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s002_b20,ARC_CONTROLLED,2,20,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s002_b50,ARC_CONTROLLED,2,50,1,1,0.2666666666666667,0.26666666666666666,True,0.2666666666666667,0.2666666666666667,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s002_b80,ARC_CONTROLLED,2,80,2,2,0.375,0.375,True,0.375,0.375,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s002_b100,ARC_CONTROLLED,2,100,2,2,0.4242424242424242,0.42424242424242425,True,0.4242424242424242,0.42424242424242425,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s003_b5,ARC_CONTROLLED,3,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s003_b10,ARC_CONTROLLED,3,10,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s003_b20,ARC_CONTROLLED,3,20,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s003_b50,ARC_CONTROLLED,3,50,2,2,0.3225806451612903,0.3225806451612903,True,0.3225806451612903,0.32258064516129037,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s003_b80,ARC_CONTROLLED,3,80,2,2,0.4242424242424242,0.42424242424242425,True,0.4242424242424242,0.42424242424242425,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s003_b100,ARC_CONTROLLED,3,100,2,2,0.4705882352941176,0.47058823529411764,True,0.4705882352941176,0.47058823529411764,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s004_b5,ARC_CONTROLLED,4,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s004_b10,ARC_CONTROLLED,4,10,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s004_b20,ARC_CONTROLLED,4,20,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s004_b50,ARC_CONTROLLED,4,50,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s004_b80,ARC_CONTROLLED,4,80,1,1,0.3225806451612903,0.3225806451612903,True,0.3225806451612903,0.32258064516129037,True,False,True,True,True
controlled_track_B3_ARC_adapted_arc_refinement_th0.4_controlled_s004_b100,ARC_CONTROLLED,4,100,2,2,0.4242424242424242,0.42424242424242425,True,0.4242424242424242,0.42424242424242425,True,False,True,True,True
controlled_track_B2_component_first_component_first_controlled_bridge_safe_s000_b5,COMPONENT_FIRST,0,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B2_component_first_component_first_controlled_bridge_safe_s000_b10,COMPONENT_FIRST,0,10,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B2_component_first_component_first_controlled_bridge_safe_s000_b20,COMPONENT_FIRST,0,20,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B2_component_first_component_first_controlled_bridge_safe_s000_b50,COMPONENT_FIRST,0,50,2,2,0.3225806451612903,0.3225806451612903,True,0.2666666666666667,0.2666666666666667,True,False,True,True,True
controlled_track_B2_component_first_component_first_controlled_bridge_safe_s000_b80,COMPONENT_FIRST,0,80,8,8,0.5,0.5,True,0.4571428571428572,0.4571428571428572,True,False,True,True,True
controlled_track_B2_component_first_component_first_controlled_bridge_safe_s000_b100,COMPONENT_FIRST,0,100,8,8,0.5789473684210527,0.5789473684210527,True,0.5405405405405405,0.5405405405405405,True,False,True,True,True
current_M1_MAP_anchor_only_K3_BRIDGE_SAFE_s000_b5,MAP_M1,0,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
current_M1_MAP_anchor_only_K3_BRIDGE_SAFE_s000_b10,MAP_M1,0,10,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
current_M1_MAP_anchor_only_K3_BRIDGE_SAFE_s000_b20,MAP_M1,0,20,1,1,0.2068965517241379,0.20689655172413793,True,0.2068965517241379,0.20689655172413793,True,False,True,True,True
current_M1_MAP_anchor_only_K3_BRIDGE_SAFE_s000_b50,MAP_M1,0,50,1,1,0.411764705882353,0.4117647058823529,True,0.411764705882353,0.411764705882353,True,False,True,True,True
current_M1_MAP_anchor_only_K3_BRIDGE_SAFE_s000_b80,MAP_M1,0,80,1,1,0.5405405405405405,0.5405405405405406,True,0.5405405405405405,0.5405405405405405,True,False,True,True,True
current_M1_MAP_anchor_only_K3_BRIDGE_SAFE_s000_b100,MAP_M1,0,100,2,2,0.5789473684210527,0.5789473684210527,True,0.5789473684210527,0.5789473684210527,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s000_b5,RANDOM_CONTROLLED,0,5,1,1,0.074074074074074,0.07407407407407407,True,0.074074074074074,0.07407407407407407,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s000_b10,RANDOM_CONTROLLED,0,10,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s000_b20,RANDOM_CONTROLLED,0,20,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s000_b50,RANDOM_CONTROLLED,0,50,1,1,0.3225806451612903,0.3225806451612903,True,0.3225806451612903,0.32258064516129037,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s000_b80,RANDOM_CONTROLLED,0,80,1,1,0.375,0.375,True,0.375,0.375,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s000_b100,RANDOM_CONTROLLED,0,100,1,1,0.4705882352941176,0.47058823529411764,True,0.4705882352941176,0.47058823529411764,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s001_b5,RANDOM_CONTROLLED,1,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s001_b10,RANDOM_CONTROLLED,1,10,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s001_b20,RANDOM_CONTROLLED,1,20,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s001_b50,RANDOM_CONTROLLED,1,50,1,1,0.3225806451612903,0.3225806451612903,True,0.3225806451612903,0.32258064516129037,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s001_b80,RANDOM_CONTROLLED,1,80,1,1,0.4242424242424242,0.42424242424242425,True,0.4242424242424242,0.42424242424242425,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s001_b100,RANDOM_CONTROLLED,1,100,1,1,0.4705882352941176,0.47058823529411764,True,0.4705882352941176,0.47058823529411764,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s002_b5,RANDOM_CONTROLLED,2,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s002_b10,RANDOM_CONTROLLED,2,10,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s002_b20,RANDOM_CONTROLLED,2,20,1,1,0.2068965517241379,0.20689655172413793,True,0.2068965517241379,0.20689655172413793,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s002_b50,RANDOM_CONTROLLED,2,50,1,1,0.3125,0.3125,True,0.3125,0.3125,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s002_b80,RANDOM_CONTROLLED,2,80,8,8,0.3125,0.3125,True,0.3125,0.3125,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s002_b100,RANDOM_CONTROLLED,2,100,20,20,0.4571428571428572,0.45714285714285713,True,0.4571428571428572,0.4571428571428572,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s003_b5,RANDOM_CONTROLLED,3,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s003_b10,RANDOM_CONTROLLED,3,10,1,1,0.2068965517241379,0.20689655172413793,True,0.2068965517241379,0.20689655172413793,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s003_b20,RANDOM_CONTROLLED,3,20,1,1,0.2068965517241379,0.20689655172413793,True,0.2068965517241379,0.20689655172413793,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s003_b50,RANDOM_CONTROLLED,3,50,2,2,0.375,0.375,True,0.375,0.375,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s003_b80,RANDOM_CONTROLLED,3,80,2,2,0.4242424242424242,0.42424242424242425,True,0.4242424242424242,0.42424242424242425,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s003_b100,RANDOM_CONTROLLED,3,100,2,2,0.5555555555555556,0.5555555555555556,True,0.5555555555555556,0.5555555555555556,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s004_b5,RANDOM_CONTROLLED,4,5,1,1,0.0,0.0,True,0.0,0.0,True,False,True,True,True
controlled_track_B0_uniform_random_random_controlled_bridge_safe_s004_b10,RANDOM_CONTROLLED,4,10,1,1,0.1428571428571428,0.14285714285714285,True,0.1428571428571428,0.14285714285714288,True,False,True,True,True
