K,tau,budget,fixed_rate_framedrop,fixed_rate_clipdrop,fixed_rate_ratio,fixed_rate_C_gt_F,uniform_random_framedrop,uniform_random_clipdrop,uniform_random_ratio,uniform_random_C_gt_F,proxy_threshold_framedrop,proxy_threshold_clipdrop,proxy_threshold_ratio,proxy_threshold_C_gt_F,arc_clustering_framedrop,arc_clustering_clipdrop,arc_clustering_ratio,arc_clustering_C_gt_F,clip_gt_frame_count
5,20,0.05,0.0368,0.1497,4.06,True,0.0414,0.1932,4.67,True,0.1252,0.7793,6.22,True,0.1925,0.8507,4.42,True,4
5,20,0.1,0.0167,0.0881,5.28,True,0.0205,0.0983,4.8,True,0.1264,0.8203,6.49,True,0.1868,0.8663,4.64,True,4
5,20,0.2,0.0099,0.0453,4.59,True,0.0124,0.0577,4.66,True,0.1239,0.7927,6.4,True,0.1859,0.872,4.69,True,4
5,20,0.4,0.0041,0.0121,2.98,True,0.0064,0.0265,4.11,True,0.0891,0.6735,7.56,True,0.1805,0.8491,4.71,True,4
5,30,0.05,0.0283,0.1372,4.85,True,0.041,0.1545,3.77,True,0.1223,0.8459,6.92,True,0.1891,0.8845,4.68,True,4
5,30,0.1,0.019,0.076,4.01,True,0.0232,0.096,4.14,True,0.1273,0.823,6.46,True,0.1906,0.8817,4.63,True,4
5,30,0.2,0.0087,0.038,4.39,True,0.0116,0.0587,5.06,True,0.1189,0.8467,7.12,True,0.1744,0.883,5.06,True,4
5,30,0.4,0.0037,0.0067,1.81,True,0.007,0.0223,3.18,True,0.0866,0.706,8.15,True,0.1825,0.8663,4.75,True,4
5,60,0.05,0.0305,0.0807,2.64,True,0.041,0.1273,3.11,True,0.1268,0.9153,7.22,True,0.1969,0.9467,4.81,True,4
5,60,0.1,0.0181,0.0387,2.14,True,0.0186,0.0853,4.58,True,0.1293,0.892,6.9,True,0.1907,0.944,4.95,True,4
5,60,0.2,0.0105,0.018,1.72,True,0.0125,0.03,2.41,True,0.1217,0.872,7.16,True,0.1797,0.9233,5.14,True,4
5,60,0.4,0.0033,0.01,3.04,True,0.0064,0.0193,3.04,True,0.0848,0.7613,8.98,True,0.1775,0.9193,5.18,True,4
