video_id,query_id,proxy_family,budget,generator,seed,trace_hash,selected_unit_ids_json,verified_positive_count,positive_yield,number_of_temporal_regions_touched,coverage_fraction,largest_unqueried_gap_units,temporal_dispersion,positive_temporal_dispersion_ORACLE_OBSERVED_AFTER_VERIFY
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,CoverageFirst,0,a83525020d0344fb33f0df6b2c899d28e97225416f461c3cfbcfb2003c4b77cc,"[""DALI_u0283"",""DALI_u0141"",""DALI_u0070"",""DALI_u0035"",""DALI_u0017""]",0,0.0,5,0.4708994708994709,283,0.1708596580886696,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,MMR_w025,0,d512c441d0ce48a74412c5f309f5dd55eb4f7bb1b4c8a460d435990056ac1b6b,"[""DALI_u0367"",""DALI_u0075"",""DALI_u0474"",""DALI_u0208"",""DALI_u0398""]",2,0.4,5,0.7054673721340388,158,0.2540255135420408,0.09452296819787986
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,MMR_w075,0,38c15f27907557821ef4cfbc7341e54c21e2cbd97ea883c327cb7272159590d8,"[""DALI_u0367"",""DALI_u0000"",""DALI_u0191"",""DALI_u0539"",""DALI_u0460""]",1,0.2,5,0.9523809523809523,190,0.3429939796585849,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,SeededTemporalHash,0,5af89a7a3278f35b54499968d0abaf962a9cb5a2ee74b34f3ee53fafe3480fd1,"[""DALI_u0385"",""DALI_u0197"",""DALI_u0538"",""DALI_u0162"",""DALI_u0018""]",1,0.2,5,0.9188712522045855,187,0.3209970700491433,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,SeededTemporalHash,1,face51a23c9f64d2fa7ac00c28caa159e0946e08b2cf129263133c9147711c70,"[""DALI_u0321"",""DALI_u0079"",""DALI_u0459"",""DALI_u0180"",""DALI_u0514""]",0,0.0,5,0.7689594356261023,140,0.28944782725090706,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,SeededTemporalHash,2,4edba9dbabe59f8089d8a79748a3eb354b93339d9cc18057053da07f32402be2,"[""DALI_u0098"",""DALI_u0284"",""DALI_u0274"",""DALI_u0444"",""DALI_u0429""]",1,0.2,5,0.6119929453262787,175,0.22200376053676912,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,SeededTemporalHash,3,6bd51ed892153235af6f63dc5f5f2d2afcfc24e2f60c91e36b90b779c4750bf6,"[""DALI_u0009"",""DALI_u0147"",""DALI_u0023"",""DALI_u0461"",""DALI_u0210""]",0,0.0,5,0.798941798941799,250,0.28960178783975765,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,SeededTemporalHash,4,c1a83f26413d28788bbe9a4df1f577dc64288e774c132df90f3ee164dd7cdc15,"[""DALI_u0181"",""DALI_u0026"",""DALI_u0240"",""DALI_u0234"",""DALI_u0055""]",0,0.0,5,0.37918871252204583,326,0.15896897766971468,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,SeededTemporalHash,5,1327f6ee510678c28ae7205d01b4bd0581c5494ee62c7e5892bf259b74e6f7b4,"[""DALI_u0139"",""DALI_u0515"",""DALI_u0435"",""DALI_u0489"",""DALI_u0386""]",1,0.2,5,0.6649029982363316,246,0.23760301680981072,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,SeededTemporalHash,6,0d5aeeb2de4890dd3a60cc5e2228e3d3d55d70aabee5ec5807696448ddb61867,"[""DALI_u0527"",""DALI_u0296"",""DALI_u0111"",""DALI_u0510"",""DALI_u0370""]",1,0.2,5,0.7354497354497355,184,0.26974210573432605,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,SeededTemporalHash,7,747cec570d6ec2a8809abdeb82a3e4af665e88b3282322c811255feb18b4b8db,"[""DALI_u0204"",""DALI_u0208"",""DALI_u0022"",""DALI_u0150"",""DALI_u0390""]",0,0.0,5,0.6507936507936508,181,0.20939012226362777,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,StaticProxyRank,0,5585f3c10676dc5ea48a202d618d0426829ac551505ecb3e8ce3f90d88b71ed0,"[""DALI_u0367"",""DALI_u0360"",""DALI_u0398"",""DALI_u0474"",""DALI_u0373""]",4,0.8,5,0.20282186948853614,360,0.07387272086830537,0.08251564351709101
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,UniformTemporal,0,b261b0319e380d0110764f3e763e92ec62a574d321c2b5831d88ee485695d619,"[""DALI_u0000"",""DALI_u0142"",""DALI_u0283"",""DALI_u0424"",""DALI_u0566""]",0,0.0,5,1.0,141,0.35330388294993365,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,CoverageFirst,0,acfbce0b339f704b9820ec64a0ab5caaa0473507744d33a5291bf9e8f1755c1e,"[""DALI_u0283"",""DALI_u0141"",""DALI_u0070"",""DALI_u0035"",""DALI_u0017"",""DALI_u0008"",""DALI_u0004"",""DALI_u0002"",""DALI_u0001"",""DALI_u0000""]",0,0.0,8,0.5008818342151675,283,0.15300485967158045,0.0
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,MMR_w025,0,97ac82827bfcc276c8362fc1b9ae9af1c537419a5345498e47967a7f3d72c83f,"[""DALI_u0367"",""DALI_u0075"",""DALI_u0474"",""DALI_u0208"",""DALI_u0398"",""DALI_u0360"",""DALI_u0373"",""DALI_u0460"",""DALI_u0356"",""DALI_u0376""]",5,0.5,10,0.7054673721340388,147,0.19904228548867084,0.07841816615255176
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,MMR_w050,0,0a129c76ae9483dd93437504dd33a9c10dfc9c663a06539ea0b980fd1851beb3,"[""DALI_u0367"",""DALI_u0075"",""DALI_u0474"",""DALI_u0208"",""DALI_u0398"",""DALI_u0360"",""DALI_u0460"",""DALI_u0373"",""DALI_u0356"",""DALI_u0376""]",5,0.5,10,0.7054673721340388,147,0.19904228548867084,0.07841816615255176
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,MMR_w075,0,7e1bb64862603d6b4a3c4f567a13cdecde144348fe313ccb512f462a52313c06,"[""DALI_u0367"",""DALI_u0000"",""DALI_u0191"",""DALI_u0539"",""DALI_u0460"",""DALI_u0101"",""DALI_u0279"",""DALI_u0398"",""DALI_u0233"",""DALI_u0071""]",3,0.3,10,0.9523809523809523,89,0.29702736515864314,0.1954886652354716
