video_id,query_id,proxy_family,budget,verified_positive_count,traces_in_stratum,primary_geometry,geometry_min,geometry_max,geometry_range,coverage_range,effective_independent_comparison_count,high_geometry_trace_hash,low_geometry_trace_hash
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,16,2,number_of_temporal_regions_touched,5.0,86.0,81.0,0.4779541446208113,1,9b38ba6c9be6c79e93d00f8ff489f94e85e0fd6edd8c27d896e6394ecf492d2a,c7869ae18be3cb6d0392a3a6d9cdae54c9162b0cb3a851a3595b8aa6a45bcaec
DALI,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,100,31,3,number_of_temporal_regions_touched,50.0,57.0,7.0,0.07760141093474426,1,d8cffcc18551dcedc07a42ca86b9efa4a1523f456c0072262262cd25524f76d9,5bb97451abdf5a0776601309e95f73c6e7a0684238177b7f1e83ab455a4e2b3f
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,0,5,number_of_temporal_regions_touched,4.0,5.0,1.0,0.5329768270944741,1,5287da97340dffbacd16fa5e9163c9e867f2d972463e84d1790c32ce175c9f16,c324bc4f3f1281a932e671325ca503810783564d3ce6d87d9b257d97d39694ca
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,5,2,2,number_of_temporal_regions_touched,4.0,5.0,1.0,0.5864527629233511,1,fc9eed7c00f5fc0bdd4de79e655fb993c1c5b0312dfb8da27b6218d96edd1022,fd0ec6f63ba16a77efe4f451bd4734388a9b287bb152186bf989462d9b873a7f
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,1,3,number_of_temporal_regions_touched,8.0,10.0,2.0,0.28698752228163993,1,84eaeff99589b3eb2261cc136e87cb0a83cbba4b1b8ce6e19afb47df453734f9,6ee12d1a873c14504da241a9752a7120de55dd53c0dc88881e0aa8ae6224b368
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,3,4,number_of_temporal_regions_touched,9.0,10.0,1.0,0.30124777183600715,1,c7febc86be07ea33e92f17037e1de5730141f6dc961ad4e6a52ce5990e2e4575,74def00d901baad84d425c63bc4f96144fc8c256b80e46faff6d6d9a59ee72a2
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,10,6,2,number_of_temporal_regions_touched,9.0,10.0,1.0,0.0,1,5460e76560384cad226fcd0b4c6f579ba652dd3acd11a85f2a5f70897b86e654,39c196d314d605fde31437e450c1b7825114c0935cf1e358cbe1d79853d70c05
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,1,3,number_of_temporal_regions_touched,7.0,20.0,13.0,0.43137254901960786,1,11e914aac07b6c87ae1d1f89d4cf6b13059d91e92cdaae1741e4f47d8af04009,dfb7d65fa0e317cdd715b76cdee8c823b5caec501ee3e4e029bf40ef3483bcb3
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,4,2,number_of_temporal_regions_touched,18.0,19.0,1.0,0.12299465240641716,1,2f8cfda60f818a80e99058c47043b005e7273e5d3b94c5e70375b165b3ba835f,5c85c68e9fea20f619d936e9820116ccbfb3aa84608bc73253612a75ddc59da6
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,20,8,3,number_of_temporal_regions_touched,16.0,19.0,3.0,0.0,1,04dd623d94f3c941560233743b9a322976caf1691098e7ac6887c115de8e58d2,efc704ccf58af8eb13951e12855b7d8d3d75a178a7c9bf9558c0802c816dd274
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,7,2,number_of_temporal_regions_touched,45.0,48.0,3.0,0.0089126559714795,1,fabf85a05058cc81bd0ac85d794771701fb1ff7d8faaf81027826bd67083be76,83a8caf8b9f862abef2dea9b76e7297a36e045c9567c6231352114f9831a4004
HANGZHOU,Q_DRIVER_RESPONSE_V1,PROXY_A_YOLOV8N_OBJECT_MOTION,50,10,3,number_of_temporal_regions_touched,46.0,50.0,4.0,0.0802139037433155,1,6daa52c13dea3baafe312b50e4cd42a9b4f0bafaf865114aa58cb533e2baa204,3f6ed3dae2e559dca43d623ce31118d3dbce8ea93f9a95f746629bc82da0280a
