run_id,method,budget,call_idx,unit_id,frame_idx,start_frame,end_frame,timestamp,proxy_score,oracle_label,reason
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,0,10,10,1000,1099,100.0,0.3467367359039481,0,supg_recall_selector_sample
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,1,55,55,5500,5599,550.0,0.3917806209083863,0,supg_recall_selector_sample
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,2,56,56,5600,5699,560.0,0.3856315896264007,1,supg_recall_selector_sample
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,3,59,59,5900,5999,590.0,0.3685573506168952,0,supg_recall_selector_sample
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,4,62,62,6200,6299,620.0,0.2904605030566576,0,supg_recall_selector_sample
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,5,69,69,6900,6999,690.0,0.3158531897468836,0,supg_recall_selector_sample
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,6,87,87,8700,8799,870.0,0.4971899172054584,1,supg_recall_selector_sample
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,7,108,108,10800,10899,1080.0,0.3398243028206858,0,supg_recall_selector_sample
SUPG_RT_confirmed_only_b10_s2,SUPG-RT-confirmed-only,10,8,111,111,11100,11199,1110.0,0.4097589050237029,1,supg_recall_selector_sample
