video_id,unit_id,unit_index,detection_count,track_count,mean_center_occupancy,mean_bbox_area,trigger_count,candidate_trigger,bbox_growth_signal,lateral_motion_signal,center_entry_signal,late_track_entry_signal,composite_visible_trigger
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0035,35,228,14,0.12280701754385964,0.018711894767198686,7,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0036,36,192,7,0.140625,0.036840533161546486,2,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0037,37,156,4,0.3333333333333333,0.016468889904337373,1,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0038,38,161,6,0.36645962732919257,0.043989716906183744,3,True,1.0,0.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0039,39,125,3,0.704,0.021772264512858755,1,True,1.0,0.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0040,40,96,2,0.6145833333333334,0.023021576644614572,2,True,1.0,0.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0041,41,92,4,0.41304347826086957,0.015594701772932552,2,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0042,42,173,8,0.3352601156069364,0.006185181928202747,6,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0043,43,341,18,0.2404692082111437,0.023224661580215702,11,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0044,44,343,17,0.3469387755102041,0.04931588037291127,12,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0045,45,238,16,0.3403361344537815,0.049842046882669265,6,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0046,46,286,10,0.3531468531468531,0.019759427516864197,7,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0047,47,236,10,0.22033898305084745,0.014492536673616968,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0048,48,150,8,0.09333333333333334,0.009230858848249958,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0049,49,148,7,0.3918918918918919,0.007740082411665647,3,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0050,50,177,7,0.1751412429378531,0.014211040512677832,4,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0051,51,139,6,0.2589928057553957,0.059724314376077225,4,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0052,52,245,12,0.3224489795918367,0.04876595811971647,5,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0053,53,104,8,0.21153846153846154,0.011383091159423295,2,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0054,54,162,9,0.5617283950617284,0.0077023289938943015,5,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0055,55,292,19,0.6952054794520548,0.040306736868977906,10,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0056,56,160,14,0.125,0.018426585430965755,4,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0057,57,123,10,0.11382113821138211,0.04824498280201706,4,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0058,58,59,4,0.03389830508474576,0.01041072057281012,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0059,59,153,8,0.27450980392156865,0.013640201333496301,4,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0060,60,186,7,0.3709677419354839,0.3049731572826867,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0061,61,244,14,0.38524590163934425,0.14288922211360255,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0062,62,96,8,0.3541666666666667,0.08071992921613803,3,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0063,63,251,10,0.20318725099601595,0.02275903658201569,8,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0064,64,201,11,0.2885572139303483,0.03129281112292143,5,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0065,65,85,8,0.27058823529411763,0.035822393407449096,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0066,66,78,3,0.15384615384615385,0.014335475562966878,1,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0067,67,79,5,0.7088607594936709,0.008645941208410522,3,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0068,68,237,19,0.4219409282700422,0.12457943089917435,12,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0069,69,245,15,0.46530612244897956,0.058222082110392606,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0070,70,207,15,0.18840579710144928,0.02487172500226834,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0071,71,436,28,0.31422018348623854,0.01913491153918089,16,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0072,72,559,32,0.3005366726296959,0.018262308081808027,15,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0073,73,332,26,0.27710843373493976,0.024636488500425092,12,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0074,74,288,18,0.2847222222222222,0.028974617516951313,11,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0075,75,266,14,0.20300751879699247,0.07158174561934685,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0076,76,127,5,0.49606299212598426,0.06263965887578556,2,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0077,77,156,10,0.1858974358974359,0.008516166024929666,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0078,78,170,6,0.5764705882352941,0.01937650194706441,4,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0079,79,169,11,0.42011834319526625,0.020767219176801244,2,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0080,80,126,6,0.2698412698412698,0.00807282065042813,3,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0081,81,68,1,0.5588235294117647,0.03504979568304533,1,True,1.0,1.0,1.0,0.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0082,82,33,4,0.030303030303030304,0.020516046810007477,2,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0083,83,155,7,0.4,0.03301059971747878,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0084,84,161,4,0.40993788819875776,0.009947425659488312,3,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0085,85,322,14,0.4782608695652174,0.011220707740549432,9,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0086,86,314,13,0.5222929936305732,0.02416414646964905,9,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0087,87,421,18,0.5320665083135392,0.018583100686784888,10,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0088,88,340,14,0.5058823529411764,0.02836941032555726,7,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0089,89,311,13,0.5466237942122186,0.034078532585807265,10,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0090,90,313,11,0.7028753993610224,0.02021135900807702,8,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0091,91,277,10,0.7689530685920578,0.021617016707915965,8,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0092,92,230,10,0.9,0.015409041300189075,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0093,93,290,10,0.6,0.03877998425525872,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0094,94,365,15,0.4712328767123288,0.03826587312561061,9,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0095,95,408,16,0.3333333333333333,0.036427485887494504,10,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0096,96,427,16,0.2576112412177986,0.04294597071058308,10,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0097,97,435,14,0.43448275862068964,0.02011675805896938,14,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0098,98,400,13,0.315,0.02341040010347049,10,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0099,99,155,9,0.18064516129032257,0.04682502210505638,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0100,100,103,4,0.5339805825242718,0.14177928537123233,2,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0101,101,82,3,0.5609756097560976,0.02538993519483238,2,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0102,102,120,7,0.11666666666666667,0.006626322248543215,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0103,103,176,6,0.9772727272727273,0.0066320252964178015,5,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0104,104,159,8,0.22641509433962265,0.022329445429627098,5,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0105,105,263,10,0.04182509505703422,0.021785503397245744,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0106,106,261,8,0.37547892720306514,0.03127333765941143,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0107,107,286,8,0.36713286713286714,0.014532592462163782,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0108,108,218,7,0.25688073394495414,0.00976093386256959,6,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0109,109,222,9,0.32882882882882886,0.008853245174275907,6,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0110,110,199,10,0.46733668341708545,0.04103516842967254,7,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0111,111,202,7,0.6584158415841584,0.007205496034967868,7,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0112,112,243,7,0.5390946502057613,0.007073220233408961,6,True,1.0,1.0,0.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0113,113,253,12,0.5652173913043478,0.01517697097615061,9,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0114,114,270,17,0.5666666666666667,0.021067116284026886,12,True,1.0,1.0,1.0,1.0,True
PSP_V0_SHORT,PSP_V0_SHORT_o00_u0115,115,159,8,0.6477987421383647,0.0337300723966707,5,True,1.0,1.0,1.0,1.0,True
