record_type,item,path,size_bytes,sha256,value
model_file,tokenizer_config.json,/qiuyeqing/llama_prl/G-ARC/models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/tokenizer_config.json,10868,c2da771801886ad9ae98181793ffd3dfb7f1af30f6f7c6a4e15d7dbba52e2399,
model_file,video_preprocessor_config.json,/qiuyeqing/llama_prl/G-ARC/models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/video_preprocessor_config.json,385,7768af27c1fafa9cc9011c1dc20067e03f8915e03b63504550e11d5066986d13,
model_file,vocab.json,/qiuyeqing/llama_prl/G-ARC/models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct/vocab.json,2776833,ca10d7e9fb3ed18575dd1e277a2579c16d108e32f27439684afa0e10b1440910,
model_identity,Qwen3-VL-32B-Instruct,/qiuyeqing/llama_prl/G-ARC/models/vlm/qwen3_vl/Qwen3-VL-32B-Instruct,,c8104bb1b008e0ad876e4fd6c63bc44ab1a3631e04cb13220b9f9d736f1aa210,
model_file_manifest,strict_model_file_manifest,/qiuyeqing/llama_prl/G-ARC/Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/oracle/STRICT_MODEL_FILE_MANIFEST.csv,,a27032176f0193562426fed825fc8822f6a8f562c83383f5ba9aab2e7aae1d00,
hardware,gpu_name,,,,NVIDIA A100-SXM4-80GB
hardware,gpu_uuid,,,,GPU-2ca52ddc-874d-913c-c345-5fa08fa92817
hardware,gpu_memory_mib,,,,81920
runtime,python,,,,"3.10.20 (main, Mar 11 2026, 17:46:40) [GCC 14.3.0]"
runtime,platform,,,,Linux-5.15.0-60-generic-x86_64-with-glibc2.35
