method,budget,trial,oracle_calls,seed_calls,boundary_calls,split_calls,recall,precision,num_pred_clips
expbin_proxy_q0.1_r3,50,7,52,9,43,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,7,52,9,43,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,7,52,9,43,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,7,52,9,43,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,7,52,9,43,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,7,52,9,43,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,7,52,9,43,0,0.05555555555555555,0.5,2
frame_stitch,50,8,50,0,0,0,0.0,0.0,12
expbin_dense_split,50,8,52,2,34,16,0.0,0.0,1
expbin_proxy_q0.1_r1,50,8,52,9,40,3,0.05555555555555555,0.3333333333333333,3
expbin_proxy_q0.1_r2,50,8,52,9,38,5,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,8,50,7,36,7,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,8,50,2,34,14,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,8,50,2,34,14,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,8,50,2,34,14,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,8,50,2,34,14,0.0,0.0,2
expbin_proxy_q0.3_r2,50,8,50,2,34,14,0.0,0.0,2
expbin_proxy_q0.3_r3,50,8,50,2,34,14,0.0,0.0,2
frame_stitch,50,9,50,0,0,0,0.0,0.0,10
expbin_dense_split,50,9,52,2,18,32,0.05555555555555555,1.0,1
expbin_proxy_q0.1_r1,50,9,52,8,35,9,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r2,50,9,52,8,33,11,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,9,52,7,33,12,0.1111111111111111,1.0,2
expbin_proxy_q0.2_r1,50,9,52,8,27,17,0.1111111111111111,1.0,2
expbin_proxy_q0.2_r2,50,9,52,8,23,21,0.05555555555555555,1.0,1
expbin_proxy_q0.2_r3,50,9,50,6,20,24,0.05555555555555555,1.0,1
expbin_proxy_q0.3_r1,50,9,50,4,18,28,0.05555555555555555,1.0,1
expbin_proxy_q0.3_r2,50,9,50,2,18,30,0.05555555555555555,1.0,1
expbin_proxy_q0.3_r3,50,9,50,2,18,30,0.05555555555555555,1.0,1
frame_stitch,50,10,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,10,52,2,28,22,0.0,0.0,1
expbin_proxy_q0.1_r1,50,10,52,15,37,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r2,50,10,52,15,37,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,10,52,15,37,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,10,52,15,37,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,10,52,15,37,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,10,52,15,37,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,10,52,15,37,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,10,52,15,37,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,10,52,15,37,0,0.05555555555555555,0.5,2
frame_stitch,50,11,50,0,0,0,0.0,0.0,15
expbin_dense_split,50,11,52,7,40,5,0.0,0.0,0
expbin_proxy_q0.1_r1,50,11,50,7,40,3,0.0,0.0,2
expbin_proxy_q0.1_r2,50,11,50,7,40,3,0.0,0.0,2
expbin_proxy_q0.1_r3,50,11,50,7,40,3,0.0,0.0,1
expbin_proxy_q0.2_r1,50,11,50,7,40,3,0.0,0.0,1
expbin_proxy_q0.2_r2,50,11,50,7,40,3,0.0,0.0,1
expbin_proxy_q0.2_r3,50,11,50,7,40,3,0.0,0.0,1
expbin_proxy_q0.3_r1,50,11,50,7,40,3,0.0,0.0,2
expbin_proxy_q0.3_r2,50,11,50,7,40,3,0.0,0.0,2
expbin_proxy_q0.3_r3,50,11,50,7,40,3,0.0,0.0,2
frame_stitch,50,12,50,0,0,0,0.0,0.0,19
expbin_dense_split,50,12,52,6,34,12,0.0,0.0,0
expbin_proxy_q0.1_r1,50,12,50,6,34,10,0.0,0.0,2
expbin_proxy_q0.1_r2,50,12,50,6,34,10,0.0,0.0,2
expbin_proxy_q0.1_r3,50,12,50,6,34,10,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,12,50,6,34,10,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,12,50,6,34,10,0.0,0.0,2
expbin_proxy_q0.2_r3,50,12,50,6,34,10,0.0,0.0,1
expbin_proxy_q0.3_r1,50,12,50,6,34,10,0.0,0.0,2
expbin_proxy_q0.3_r2,50,12,50,6,34,10,0.0,0.0,2
expbin_proxy_q0.3_r3,50,12,50,6,34,10,0.0,0.0,2
frame_stitch,50,13,50,0,0,0,0.0,0.0,13
expbin_dense_split,50,13,52,3,30,19,0.05555555555555555,1.0,1
expbin_proxy_q0.1_r1,50,13,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,13,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,13,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,13,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,13,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,13,52,8,44,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,13,50,3,30,17,0.0,0.0,2
expbin_proxy_q0.3_r2,50,13,50,3,30,17,0.0,0.0,2
expbin_proxy_q0.3_r3,50,13,50,3,30,17,0.0,0.0,2
frame_stitch,50,14,50,0,0,0,0.0,0.0,17
expbin_dense_split,50,14,52,3,34,15,0.0,0.0,0
expbin_proxy_q0.1_r1,50,14,52,7,45,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r2,50,14,52,7,45,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,14,52,7,45,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,14,52,7,45,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,14,52,7,45,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,14,52,7,45,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,14,52,7,45,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,14,52,7,45,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,14,52,7,45,0,0.05555555555555555,0.5,2
frame_stitch,50,15,50,0,0,0,0.0,0.0,11
expbin_dense_split,50,15,52,3,26,23,0.05555555555555555,1.0,1
expbin_proxy_q0.1_r1,50,15,52,3,49,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r2,50,15,52,3,49,0,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,15,52,3,49,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,15,52,3,49,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,15,52,3,49,0,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,15,52,3,49,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r1,50,15,52,3,49,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,15,52,3,49,0,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,15,52,3,49,0,0.05555555555555555,0.5,2
frame_stitch,50,16,50,0,0,0,0.0,0.0,18
expbin_dense_split,50,16,52,1,26,25,0.0,0.0,0
expbin_proxy_q0.1_r1,50,16,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.1_r2,50,16,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.1_r3,50,16,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.2_r1,50,16,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.2_r2,50,16,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.2_r3,50,16,52,10,42,0,0.0,0.0,2
expbin_proxy_q0.3_r1,50,16,50,1,26,23,0.0,0.0,2
expbin_proxy_q0.3_r2,50,16,50,1,26,23,0.0,0.0,2
expbin_proxy_q0.3_r3,50,16,50,1,26,23,0.0,0.0,2
frame_stitch,50,17,50,0,0,0,0.0,0.0,15
expbin_dense_split,50,17,52,5,28,19,0.0,0.0,0
expbin_proxy_q0.1_r1,50,17,51,17,31,3,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r2,50,17,52,17,30,5,0.05555555555555555,0.5,2
expbin_proxy_q0.1_r3,50,17,50,16,28,6,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r1,50,17,50,7,28,15,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r2,50,17,50,5,28,17,0.05555555555555555,0.5,2
expbin_proxy_q0.2_r3,50,17,50,5,28,17,0.0,0.0,1
expbin_proxy_q0.3_r1,50,17,50,5,28,17,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r2,50,17,50,5,28,17,0.05555555555555555,0.5,2
expbin_proxy_q0.3_r3,50,17,50,5,28,17,0.05555555555555555,0.5,2
frame_stitch,50,18,50,0,0,0,0.0,0.0,21
expbin_dense_split,50,18,52,1,29,22,0.0,0.0,1
expbin_proxy_q0.1_r1,50,18,50,1,29,20,0.0,0.0,2
expbin_proxy_q0.1_r2,50,18,50,1,29,20,0.0,0.0,2
expbin_proxy_q0.1_r3,50,18,50,1,29,20,0.05555555555555555,0.3333333333333333,3
