dataset,method,method_variant,seed,budget,exact_oracle_calls,selected_positive_units,selected_distinct_reference_events,positive_duplicate_burden,event_precision,event_recall,event_f1,event_count_error,predicted_event_count,reference_event_count,tiou_03,tiou_05,matched_mean_iou,overmerge,oversplit,returned_seconds,overcoverage_ratio,event_recall_per_returned_minute,actual_arc_refinement_calls
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,23,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,23,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,24,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,24,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,24,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,25,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,25,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,25,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,26,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,26,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,26,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,27,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,27,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,27,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,28,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,28,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,28,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,29,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,29,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,29,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,30,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,30,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,30,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,31,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,31,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,31,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,32,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,32,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,32,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,0
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,33,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,33,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,33,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,4
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,34,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,34,10,10,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,34,20,20,1,1,0,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,0.0,0.0,0.02000000000000455,0.0,0.0,10.0,11.111111111109988,3.0,1
realcartest_1630_2000,arc_shared_k3_seed_audit,threshold_0.4_refinement_plus_proxy_exact_fill,35,5,5,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
