dataset,K,tau,proxy_threshold,budget_ratio,seed,method,reported_confidence,actual_clip_recall,actual_clip_precision,mIoU,oracle_ratio,violation_0.8,violation_0.9,num_true_clips,num_candidate_clips
uadetrac,20,20,p95,0.05,0,full_oracle,,1.0,1.0,1.0,1.0,False,False,35,35
uadetrac,20,20,p95,0.05,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p95,0.05,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.05,0,supg_style_frame_selection_stitch,,0.08571428571428572,0.05454545454545454,0.17299311249017416,0.049333779072544055,True,True,35,55
uadetrac,20,20,p95,0.05,0,arc_style_surrogate,0.9492703266157053,0.0,0.0,0.052757647334356034,0.04436697072448541,True,True,35,39
uadetrac,20,20,p95,0.05,1,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p95,0.05,1,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.05,1,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.17801969372095053,0.04950093127656526,True,True,35,55
uadetrac,20,20,p95,0.05,1,arc_style_surrogate,0.9498432601880877,0.0,0.0,0.05521834563389266,0.044283394622474805,True,True,35,35
uadetrac,20,20,p95,0.05,2,uniform_sampling_stitch,,0.0,0.0,0.0,0.0499904484454845,True,True,35,0
uadetrac,20,20,p95,0.05,2,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.05,2,supg_style_frame_selection_stitch,,0.14285714285714285,0.09803921568627451,0.20404372121054146,0.049345718515688426,True,True,35,51
uadetrac,20,20,p95,0.05,2,arc_style_surrogate,0.9491173416407062,0.0,0.0,0.06025913678529536,0.0444983045990735,True,True,35,42
uadetrac,20,20,p95,0.1,0,uniform_sampling_stitch,,0.0,0.0,0.0,0.09999283633411338,True,True,35,0
uadetrac,20,20,p95,0.1,0,fixed_proxy_threshold_stitch,,0.0,0.0,0.03666891658590823,0.0,True,True,35,34
uadetrac,20,20,p95,0.1,0,supg_style_frame_selection_stitch,,0.11428571428571428,0.07272727272727272,0.1781863603876172,0.09719900663833039,True,True,35,55
uadetrac,20,20,p95,0.1,0,arc_style_surrogate,0.9729680365296803,0.05714285714285714,0.03333333333333333,0.1436796517104729,0.08536701848225799,True,True,35,60
