benchmark_id,run_id,method,method_variant,seed,horizon_budget,metric_name,metric_value,metric_scope,reference_type,evaluator_hash,variant
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,event_f1,0.14285714285714288,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,event_count_error,24.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,predicted_event_count,2.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,reference_event_count,26.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,tiou_03,0.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,tiou_05,0.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,matched_mean_iou,0.09695786864930933,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,overmerge,0.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,oversplit,0.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,returned_seconds,20.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,overcoverage_ratio,0.13495276653171537,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b020_original_k3,BCM_AQP_V2,original_k3,20260711,20,event_recall_per_returned_minute,0.23076923076923078,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b050_k3_bridge_safe,BCM_AQP_V2,k3_bridge_safe,20260711,50,event_precision,1.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b050_k3_bridge_safe,BCM_AQP_V2,k3_bridge_safe,20260711,50,event_recall,0.19230769230769232,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b050_k3_bridge_safe,BCM_AQP_V2,k3_bridge_safe,20260711,50,event_f1,0.32258064516129037,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b050_k3_bridge_safe,BCM_AQP_V2,k3_bridge_safe,20260711,50,event_count_error,21.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b050_k3_bridge_safe,BCM_AQP_V2,k3_bridge_safe,20260711,50,predicted_event_count,5.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b050_k3_bridge_safe,BCM_AQP_V2,k3_bridge_safe,20260711,50,reference_event_count,26.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b050_k3_bridge_safe,BCM_AQP_V2,k3_bridge_safe,20260711,50,tiou_03,0.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
cbbv2_514c0d360fd5b2a4b5fe,bcm_canonical_b050_k3_bridge_safe,BCM_AQP_V2,k3_bridge_safe,20260711,50,tiou_05,0.0,single_video,VLM_DEFINED_PSEUDO_ORACLE,ca34f7fe2ab23accd22d42dba299091890157fb7c913068199f318f4dc5db407,canonical
