step_idx,action_type,target_id,reason,action_cost,spent_after_commit,remaining_after_commit,scanned_cells,scanned_units,verify_count,verified_positive_units,returned_event_count,event_precision,event_recall,event_f1,public_state_hash,label_revealed_only_for_verify
27,VERIFY,230,fixed_cycle_proxy_verify,1.0,15.4,64.6,14,140,14,3,3,1.0,0.11538461538461539,0.20689655172413793,5a13ecec741ba495a15d17fa215df145aedae3ec81a4f8f476c034ec1c2c5109,True
28,SCAN,32,fixed_cycle_scan,0.1,15.5,64.5,15,150,14,3,3,1.0,0.11538461538461539,0.20689655172413793,f2fc54d3ac63c9e60094c70539fcb3416a0e26aa638abec9085c7ba43e570daf,True
29,VERIFY,320,fixed_cycle_proxy_verify,1.0,16.5,63.5,15,150,15,3,3,1.0,0.11538461538461539,0.20689655172413793,8baafe98821dc4edd1c0ed4cef36fb92d7b10a251e7c61a4fc3b218848a3e9ba,True
30,SCAN,0,fixed_cycle_scan,0.1,16.6,63.4,16,160,15,3,3,1.0,0.11538461538461539,0.20689655172413793,6a0af4ae69e0f570b595d761d1308d37283240ff81973dc99a46ec5462db5377,True
31,VERIFY,4,fixed_cycle_proxy_verify,1.0,17.6,62.4,16,160,16,3,3,1.0,0.11538461538461539,0.20689655172413793,3538932cd9be3f68d1df03119fac25fe679421d79872e0b5eedc248b3c7243a4,True
32,SCAN,2,fixed_cycle_scan,0.1,17.7,62.3,17,170,16,3,3,1.0,0.11538461538461539,0.20689655172413793,d353fcc6fca5379cda6c7dae3d54bb92f827a3b3609df224870ec1df2376c04b,True
33,VERIFY,322,fixed_cycle_proxy_verify,1.0,18.7,61.3,17,170,17,4,4,1.0,0.15384615384615385,0.2666666666666667,130d1b0c5420297edded892d022a49a5648c9918a97b51b71b1323965e94d5a0,True
34,SCAN,4,fixed_cycle_scan,0.1,18.8,61.2,18,180,17,4,4,1.0,0.15384615384615385,0.2666666666666667,980011405f5412269e1df636aaf7d555639153d59d297a6610e45e731c419ecc,True
35,VERIFY,24,fixed_cycle_proxy_verify,1.0,19.8,60.2,18,180,18,4,4,1.0,0.15384615384615385,0.2666666666666667,a526325d4491931ebe725361ee7ceb76d721f8ed0182d4ab8cee82aceac20fcb,True
36,SCAN,6,fixed_cycle_scan,0.1,19.9,60.1,19,190,18,4,4,1.0,0.15384615384615385,0.2666666666666667,13f871d21aa6af7cfdcd5208fd3dff87b855a789c29cbbcd993ef8f44ed888b8,True
37,VERIFY,329,fixed_cycle_proxy_verify,1.0,20.9,59.1,19,190,19,4,4,1.0,0.15384615384615385,0.2666666666666667,1e5306416f0be3b0cdceaa642b6b8c4ddf3bbe85d26b7fc06ac6542e276745cc,True
38,SCAN,9,fixed_cycle_scan,0.1,21.0,59.0,20,200,19,4,4,1.0,0.15384615384615385,0.2666666666666667,bb2c775b1a3a87fd0bcf271cb0275c68d051843be326fa5733adea051b48eb6b,True
39,VERIFY,231,fixed_cycle_proxy_verify,1.0,22.0,58.0,20,200,20,4,4,1.0,0.15384615384615385,0.2666666666666667,c62b3c1fdc0eb233836e9843f72b91b5ec77fcf86d60c954ef10fc6d6e05b8f0,True
40,SCAN,11,fixed_cycle_scan,0.1,22.1,57.9,21,210,20,4,4,1.0,0.15384615384615385,0.2666666666666667,ca4bb3922bd8370f5198e44e39b3aea4f06e3cdf3057258cdab9c52046614c8e,True
41,VERIFY,234,fixed_cycle_proxy_verify,1.0,23.1,56.9,21,210,21,4,4,1.0,0.15384615384615385,0.2666666666666667,6e26a47eedf7bc5f0999f636e332dd0b4348e148f6ac44abad5621bdedbb41e7,True
42,SCAN,13,fixed_cycle_scan,0.1,23.2,56.8,22,220,21,4,4,1.0,0.15384615384615385,0.2666666666666667,e55e5e9176ec202c62cfab18f79f60d19cf5fb9b43fd04a17051c4c643bd1f70,True
43,VERIFY,280,fixed_cycle_proxy_verify,1.0,24.2,55.8,22,220,22,4,4,1.0,0.15384615384615385,0.2666666666666667,2a8d4a61b53ed9871f8eed2f019c4a2bf0690d35580efda639fe09038c548f91,True
44,SCAN,15,fixed_cycle_scan,0.1,24.3,55.7,23,230,22,4,4,1.0,0.15384615384615385,0.2666666666666667,bc7702583b0568308a6bf14f1e27ed95eeda4d482de717980cd6e37762bf9fb9,True
45,VERIFY,158,fixed_cycle_proxy_verify,1.0,25.3,54.7,23,230,23,4,4,1.0,0.15384615384615385,0.2666666666666667,cd3d6b56a4637519d63852429ff04ebec1e3d2826afe712a5035823f56e5fb5c,True
46,SCAN,18,fixed_cycle_scan,0.1,25.4,54.6,24,240,23,4,4,1.0,0.15384615384615385,0.2666666666666667,55a101ad5ddddc22a7e0a84e8583a1d3d60f31d18ed4292e8c5c3720e0f85802,True
47,VERIFY,152,fixed_cycle_proxy_verify,1.0,26.4,53.6,24,240,24,4,4,1.0,0.15384615384615385,0.2666666666666667,ed46dfaa7482f9b9647b084601a3cf04fd630b57c492502d21ffaf6e29a9c29e,True
48,SCAN,20,fixed_cycle_scan,0.1,26.5,53.5,25,250,24,4,4,1.0,0.15384615384615385,0.2666666666666667,8dc717db07386b76cf8496faad9439e8450cae2645beafb21a158439bf336c73,True
49,VERIFY,206,fixed_cycle_proxy_verify,1.0,27.5,52.5,25,250,25,4,4,1.0,0.15384615384615385,0.2666666666666667,f5e874f7ff1f0399d91d95b5202a76805cf91c64366df5c23ba9da6132ff7b8a,True
50,SCAN,22,fixed_cycle_scan,0.1,27.6,52.4,26,260,25,4,4,1.0,0.15384615384615385,0.2666666666666667,1d65f86d2b5fabad7860c128e602b01f910805afc5d6cc4445f81a0007a2ff70,True
51,VERIFY,209,fixed_cycle_proxy_verify,1.0,28.6,51.4,26,260,26,4,4,1.0,0.15384615384615385,0.2666666666666667,2959d4fa062d190197b5279c226ffcd28c15aca47995b245a39ac9ff38291d80,True
52,SCAN,24,fixed_cycle_scan,0.1,28.7,51.3,27,270,26,4,4,1.0,0.15384615384615385,0.2666666666666667,583ec6e7810ae48dde2bcd78a1ff034b2bb8a2006ca492ae7da7e69d90dabd16,True
53,VERIFY,247,fixed_cycle_proxy_verify,1.0,29.7,50.3,27,270,27,5,5,1.0,0.19230769230769232,0.32258064516129037,681fb2b15447abf6f828abfe2ef457656abd4b60a2b36c66841aa17b564e2fec,True
54,SCAN,27,fixed_cycle_scan,0.1,29.8,50.2,28,280,27,5,5,1.0,0.19230769230769232,0.32258064516129037,bf4a9ccffc89d5e50b8dae437e03b15bb22b20192ab1c587a2f9be107edb27fa,True
55,VERIFY,244,fixed_cycle_proxy_verify,1.0,30.8,49.2,28,280,28,5,5,1.0,0.19230769230769232,0.32258064516129037,24e5dd3e02edee315d8eefdab327676b7e79ffe23997ebf33d2483902406f551,True
56,SCAN,29,fixed_cycle_scan,0.1,30.9,49.1,29,290,28,5,5,1.0,0.19230769230769232,0.32258064516129037,6373abebe077dad017840698aa2298c24651f46cf0cab27a590f4f7b710ac238,True
57,VERIFY,154,fixed_cycle_proxy_verify,1.0,31.9,48.1,29,290,29,5,5,1.0,0.19230769230769232,0.32258064516129037,5d3d8eb99618f3fcb976d89ca4e6e126f325debb3ef57ed542b13ab441b5cfbe,True
58,SCAN,31,fixed_cycle_scan,0.1,32.0,48.0,30,300,29,5,5,1.0,0.19230769230769232,0.32258064516129037,fde1e6ff119e3ac11cbdbf0c0321fb4391a4ea014668dc7782f7fe5afba9c2e5,True
59,VERIFY,207,fixed_cycle_proxy_verify,1.0,33.0,47.0,30,300,30,5,5,1.0,0.19230769230769232,0.32258064516129037,8c70874ed8be30ef5a51f6a699be4d8f16bb54a9358a1fa8ca12e01268a31c84,True
60,SCAN,33,fixed_cycle_scan,0.1,33.1,46.9,31,310,30,5,5,1.0,0.19230769230769232,0.32258064516129037,5abd28268eb6c9fbc8c22626a50b42236a9742e8d2587227b90c58f17172e8ab,True
61,VERIFY,336,fixed_cycle_proxy_verify,1.0,34.1,45.9,31,310,31,5,5,1.0,0.19230769230769232,0.32258064516129037,25c43d4d5ea333eb91bb575de6f782144c14a3eb3f06da7360c3c597d3fb7ab3,True
62,SCAN,7,fixed_cycle_scan,0.1,34.2,45.8,32,320,31,5,5,1.0,0.19230769230769232,0.32258064516129037,7791b96ef4a1db3ec0d17e6ceb9daef4ce01178d488460873be040f262d3fe12,True
63,VERIFY,72,fixed_cycle_proxy_verify,1.0,35.2,44.8,32,320,32,5,5,1.0,0.19230769230769232,0.32258064516129037,1031792177abb1ab4bd0c7fb30340603b82b5863c65eeb4c19348f936b336781,True
64,SCAN,16,fixed_cycle_scan,0.1,35.3,44.7,33,330,32,5,5,1.0,0.19230769230769232,0.32258064516129037,b7d500493b56c9333c99dda0ffddb49cc7ec9d0082fc268aa899ce6e18f72f24,True
