call_idx,unit_id,oracle_label_after_query,outcome_is_determinate,verified_positive,propagated_unit_count,proxy_score,selection_reason,oracle_accessed_only_after_selection
71,115,negative,True,False,0,0.2806702374659445,rc_sem_cross_source_posterior_event_yield,True
72,34,negative,True,False,0,0.280091606228985,rc_sem_cross_source_posterior_event_yield,True
73,4,positive,True,True,0,0.2766791292423251,rc_sem_cross_source_posterior_event_yield,True
74,61,negative,True,False,0,0.2742392307788646,rc_sem_cross_source_posterior_event_yield,True
75,37,negative,True,False,0,0.2711091970707555,rc_sem_cross_source_posterior_event_yield,True
76,6,negative,True,False,0,0.2668541408594236,rc_sem_cross_source_posterior_event_yield,True
77,109,negative,True,False,0,0.2665641906520992,rc_sem_cross_source_posterior_event_yield,True
78,90,negative,True,False,0,0.2659787337534144,rc_sem_cross_source_posterior_event_yield,True
79,38,positive,True,True,0,0.2613564787105142,rc_sem_cross_source_posterior_event_yield,True
80,94,negative,True,False,0,0.2566081879008831,rc_sem_cross_source_posterior_event_yield,True
81,41,negative,True,False,0,0.2503379029215565,rc_sem_cross_source_posterior_event_yield,True
82,48,negative,True,False,0,0.2499864961350402,rc_sem_cross_source_posterior_event_yield,True
83,113,negative,True,False,0,0.2492997430792742,rc_sem_cross_source_posterior_event_yield,True
84,25,positive,True,True,0,0.2458370010258339,rc_sem_cross_source_posterior_event_yield,True
85,53,positive,True,True,0,0.2451944604958394,rc_sem_cross_source_posterior_event_yield,True
86,7,positive,True,True,0,0.2443440442542616,rc_sem_cross_source_posterior_event_yield,True
87,119,negative,True,False,0,0.2426843345580862,rc_sem_cross_source_posterior_event_yield,True
88,96,positive,True,True,0,0.2406992712578868,rc_sem_cross_source_posterior_event_yield,True
89,40,positive,True,True,0,0.235354423818303,rc_sem_cross_source_posterior_event_yield,True
90,101,negative,True,False,0,0.2328772371433801,rc_sem_cross_source_posterior_event_yield,True
91,11,negative,True,False,0,0.2266881041395218,rc_sem_cross_source_posterior_event_yield,True
92,2,negative,True,False,0,0.2183258359016359,rc_sem_cross_source_posterior_event_yield,True
93,32,positive,True,True,0,0.2178679718882723,rc_sem_cross_source_posterior_event_yield,True
94,15,negative,True,False,0,0.2156667567223876,rc_sem_cross_source_posterior_event_yield,True
95,43,negative,True,False,0,0.2133218368294702,rc_sem_cross_source_posterior_event_yield,True
96,35,negative,True,False,0,0.2055648055745793,rc_sem_cross_source_posterior_event_yield,True
97,74,negative,True,False,0,0.2047199090676344,rc_sem_cross_source_posterior_event_yield,True
98,47,negative,True,False,0,0.2034681771340775,rc_sem_cross_source_posterior_event_yield,True
99,42,negative,True,False,0,0.2024742140558512,rc_sem_cross_source_posterior_event_yield,True
